NAME,B03001_002E,B03001_003E,state,county,tract
Census Tract 101; Cook County; Illinois,3364.0,920.0,17,031,010100
Census Tract 1404; Cook County; Illinois,4091.0,1820.0,17,031,140400
Census Tract 1405; Cook County; Illinois,2016.0,1155.0,17,031,140500
Census Tract 1406.01; Cook County; Illinois,1566.0,1196.0,17,031,140601
Census Tract 1406.02; Cook County; Illinois,1871.0,2832.0,17,031,140602
Census Tract 1407.01; Cook County; Illinois,1438.0,1552.0,17,031,140701
Census Tract 1407.02; Cook County; Illinois,1908.0,3664.0,17,031,140702
Census Tract 1408; Cook County; Illinois,4213.0,1999.0,17,031,140800
Census Tract 1502; Cook County; Illinois,5059.0,2204.0,17,031,150200
Census Tract 1503; Cook County; Illinois,5569.0,1703.0,17,031,150300
Census Tract 1504.01; Cook County; Illinois,3651.0,1495.0,17,031,150401
Census Tract 1504.02; Cook County; Illinois,2300.0,1645.0,17,031,150402
Census Tract 1505.01; Cook County; Illinois,2917.0,937.0,17,031,150501
Census Tract 1505.02; Cook County; Illinois,2538.0,1415.0,17,031,150502
Census Tract 1506; Cook County; Illinois,2340.0,1883.0,17,031,150600
Census Tract 1507; Cook County; Illinois,2232.0,2221.0,17,031,150700
Census Tract 1508; Cook County; Illinois,2192.0,2476.0,17,031,150800
Census Tract 1510.01; Cook County; Illinois,768.0,2048.0,17,031,151001
Census Tract 1510.02; Cook County; Illinois,1398.0,3494.0,17,031,151002
Census Tract 1511; Cook County; Illinois,2249.0,3198.0,17,031,151100
Census Tract 1512; Cook County; Illinois,2274.0,1783.0,17,031,151200
Census Tract 1601; Cook County; Illinois,2103.0,654.0,17,031,160100
Census Tract 1602; Cook County; Illinois,2470.0,886.0,17,031,160200
Census Tract 1603; Cook County; Illinois,3135.0,550.0,17,031,160300
Census Tract 1604; Cook County; Illinois,3413.0,1758.0,17,031,160400
Census Tract 1605.01; Cook County; Illinois,1687.0,1583.0,17,031,160501
Census Tract 1605.02; Cook County; Illinois,1807.0,2205.0,17,031,160502
Census Tract 1606.01; Cook County; Illinois,2174.0,829.0,17,031,160601
Census Tract 1606.02; Cook County; Illinois,2322.0,1435.0,17,031,160602
Census Tract 1607; Cook County; Illinois,3811.0,2454.0,17,031,160700
Census Tract 1608; Cook County; Illinois,2051.0,3185.0,17,031,160800
Census Tract 1609; Cook County; Illinois,1895.0,525.0,17,031,160900
Census Tract 1610; Cook County; Illinois,1546.0,440.0,17,031,161000
Census Tract 1611; Cook County; Illinois,1661.0,363.0,17,031,161100
Census Tract 1612; Cook County; Illinois,1259.0,1614.0,17,031,161200
Census Tract 1613; Cook County; Illinois,1597.0,2172.0,17,031,161300
Census Tract 1701; Cook County; Illinois,1834.0,196.0,17,031,170100
Census Tract 1702; Cook County; Illinois,2026.0,1726.0,17,031,170200
Census Tract 1703; Cook County; Illinois,3242.0,1739.0,17,031,170300
Census Tract 1704; Cook County; Illinois,2798.0,1191.0,17,031,170400
Census Tract 1705; Cook County; Illinois,3699.0,1462.0,17,031,170500
Census Tract 1706; Cook County; Illinois,1934.0,556.0,17,031,170600
Census Tract 1707; Cook County; Illinois,2222.0,1038.0,17,031,170700
Census Tract 1708; Cook County; Illinois,2644.0,1365.0,17,031,170800
Census Tract 1709; Cook County; Illinois,950.0,1020.0,17,031,170900
Census Tract 1710; Cook County; Illinois,4533.0,2296.0,17,031,171000
Census Tract 1711; Cook County; Illinois,2072.0,2031.0,17,031,171100
Census Tract 1801; Cook County; Illinois,3075.0,3469.0,17,031,180100
Census Tract 1901; Cook County; Illinois,286.0,2052.0,17,031,190100
Census Tract 1902; Cook County; Illinois,1443.0,4415.0,17,031,190200
Census Tract 1903; Cook County; Illinois,2066.0,3223.0,17,031,190300
Census Tract 1904.01; Cook County; Illinois,1511.0,2608.0,17,031,190401
Census Tract 1904.02; Cook County; Illinois,1565.0,3331.0,17,031,190402
Census Tract 1906.01; Cook County; Illinois,650.0,3336.0,17,031,190601
Census Tract 1906.02; Cook County; Illinois,1285.0,4269.0,17,031,190602
Census Tract 1907.01; Cook County; Illinois,799.0,2036.0,17,031,190701
Census Tract 1907.02; Cook County; Illinois,818.0,3889.0,17,031,190702
Census Tract 1908; Cook County; Illinois,1248.0,4801.0,17,031,190800
Census Tract 1909; Cook County; Illinois,482.0,1387.0,17,031,190900
Census Tract 1910; Cook County; Illinois,183.0,2373.0,17,031,191000
Census Tract 1911; Cook County; Illinois,1078.0,5573.0,17,031,191100
Census Tract 1912; Cook County; Illinois,151.0,3624.0,17,031,191200
Census Tract 1913.01; Cook County; Illinois,897.0,4314.0,17,031,191301
Census Tract 1913.02; Cook County; Illinois,254.0,4185.0,17,031,191302
Census Tract 2001; Cook County; Illinois,920.0,2746.0,17,031,200100
Census Tract 2002; Cook County; Illinois,965.0,3470.0,17,031,200200
Census Tract 2003; Cook County; Illinois,341.0,1525.0,17,031,200300
Census Tract 2004.01; Cook County; Illinois,554.0,2854.0,17,031,200401
Census Tract 2004.02; Cook County; Illinois,1247.0,3825.0,17,031,200402
Census Tract 2101; Cook County; Illinois,2423.0,1771.0,17,031,210100
Census Tract 2104; Cook County; Illinois,667.0,1824.0,17,031,210400
Census Tract 2105.01; Cook County; Illinois,1317.0,1549.0,17,031,210501
Census Tract 2105.02; Cook County; Illinois,1789.0,2623.0,17,031,210502
Census Tract 2106.01; Cook County; Illinois,1677.0,1141.0,17,031,210601
Census Tract 2106.02; Cook County; Illinois,1913.0,2449.0,17,031,210602
Census Tract 2107; Cook County; Illinois,1843.0,1881.0,17,031,210700
Census Tract 2108; Cook County; Illinois,605.0,537.0,17,031,210800
Census Tract 2109; Cook County; Illinois,1945.0,1229.0,17,031,210900
Census Tract 2203; Cook County; Illinois,1491.0,507.0,17,031,220300
Census Tract 2204; Cook County; Illinois,2077.0,593.0,17,031,220400
Census Tract 2205; Cook County; Illinois,2082.0,728.0,17,031,220500
Census Tract 2206.01; Cook County; Illinois,1032.0,506.0,17,031,220601
Census Tract 2206.02; Cook County; Illinois,3252.0,1064.0,17,031,220602
Census Tract 2207.01; Cook County; Illinois,1281.0,1796.0,17,031,220701
Census Tract 2207.02; Cook County; Illinois,1930.0,2029.0,17,031,220702
Census Tract 2209.01; Cook County; Illinois,1004.0,2086.0,17,031,220901
Census Tract 2209.02; Cook County; Illinois,1015.0,2179.0,17,031,220902
Census Tract 2210; Cook County; Illinois,1238.0,1333.0,17,031,221000
Census Tract 2211; Cook County; Illinois,2799.0,1743.0,17,031,221100
Census Tract 2212; Cook County; Illinois,2485.0,380.0,17,031,221200
Census Tract 2213; Cook County; Illinois,1740.0,1271.0,17,031,221300
Census Tract 2214; Cook County; Illinois,2228.0,855.0,17,031,221400
Census Tract 2215; Cook County; Illinois,1812.0,955.0,17,031,221500
Census Tract 2216; Cook County; Illinois,2671.0,718.0,17,031,221600
Census Tract 2222; Cook County; Illinois,2055.0,188.0,17,031,222200
Census Tract 2225; Cook County; Illinois,1029.0,439.0,17,031,222500
Census Tract 2226; Cook County; Illinois,1108.0,500.0,17,031,222600
Census Tract 2227; Cook County; Illinois,1021.0,1181.0,17,031,222700
Census Tract 2228; Cook County; Illinois,381.0,671.0,17,031,222800
Census Tract 2229; Cook County; Illinois,374.0,612.0,17,031,222900
Census Tract 2301; Cook County; Illinois,942.0,694.0,17,031,230100
Census Tract 2302; Cook County; Illinois,885.0,1092.0,17,031,230200
Census Tract 2303; Cook County; Illinois,192.0,713.0,17,031,230300
Census Tract 2304; Cook County; Illinois,499.0,1617.0,17,031,230400
Census Tract 2305; Cook County; Illinois,614.0,2466.0,17,031,230500
Census Tract 2306; Cook County; Illinois,3371.0,5606.0,17,031,230600
Census Tract 2307; Cook County; Illinois,1437.0,4336.0,17,031,230700
Census Tract 2308; Cook County; Illinois,206.0,823.0,17,031,230800
Census Tract 2309; Cook County; Illinois,2229.0,2674.0,17,031,230900
Census Tract 2311; Cook County; Illinois,885.0,477.0,17,031,231100
Census Tract 2312; Cook County; Illinois,4978.0,979.0,17,031,231200
Census Tract 2315; Cook County; Illinois,4380.0,1429.0,17,031,231500
Census Tract 2402; Cook County; Illinois,1572.0,394.0,17,031,240200
Census Tract 2403; Cook County; Illinois,1204.0,68.0,17,031,240300
Census Tract 2405; Cook County; Illinois,2329.0,186.0,17,031,240500
Census Tract 2406; Cook County; Illinois,1303.0,336.0,17,031,240600
Census Tract 2407; Cook County; Illinois,1035.0,599.0,17,031,240700
Census Tract 2408; Cook County; Illinois,1100.0,380.0,17,031,240800
Census Tract 2409; Cook County; Illinois,687.0,406.0,17,031,240900
Census Tract 2410; Cook County; Illinois,1026.0,766.0,17,031,241000
Census Tract 2411; Cook County; Illinois,2583.0,1067.0,17,031,241100
Census Tract 2412; Cook County; Illinois,1475.0,223.0,17,031,241200
Census Tract 2413; Cook County; Illinois,1596.0,292.0,17,031,241300
