filing_year,area_name,area_number,eviction_filings_total,eviction_filings_rate,eviction_filings_sealed,eviction_filings_unclear,eviction_filings_completed,case_type_single_action,case_type_joint_action,back_rent_median,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,landlord_prose,landlord_represented,tenant_prose,tenant_represented,tenant_rep_pa,tenant_rep_laa,eviction_order_yes,eviction_order_no,eviction_order_yes_tenant_prose,eviction_order_no_tenant_prose,eviction_order_yes_tenant_represented,eviction_order_no_tenant_represented,eviction_order_yes_tenant_rep_pa,eviction_order_no_tenant_rep_pa,eviction_order_yes_tenant_rep_laa,eviction_order_no_tenant_rep_laa,ftu_eviction_order,ftu_other_outcome,ftu_no_outcome,ftu_eviction_order_tenant_prose,ftu_other_outcome_tenant_prose,ftu_no_outcome_tenant_prose,ftu_eviction_order_tenant_represented,ftu_other_outcome_tenant_represented,ftu_no_outcome_tenant_represented,default_eviction_order_yes,default_eviction_order_no,default_eviction_order_yes_tenant_prose,default_eviction_order_no_tenant_prose,default_eviction_order_yes_tenant_represented,default_eviction_order_no_tenant_represented
2017,Washington Heights,73,162,5.03,39,1,122,20,102,2149.5,18,8,53,27,16,28,94,105,17,16,1,79,43,72,33,7,10,7,9,0,1,40,13,69,39,13,53,1,0,16,17,105,15,90,2,15
2018,Washington Heights,73,192,5.96,35,3,154,40,114,1982.75,43,18,48,30,15,28,126,132,22,21,1,104,50,91,41,13,9,13,8,0,1,36,18,100,34,18,80,2,0,20,27,127,26,106,1,21
2019,Washington Heights,73,203,6.29,49,2,152,31,121,2000.0,30,15,57,33,17,23,129,135,17,16,1,81,71,71,64,10,7,10,6,0,1,28,19,105,28,19,88,0,0,17,41,111,39,96,2,15
2010,Mount Greenwood,74,86,9.87,1,2,83,2,81,1658.5,2,12,43,17,9,1,82,79,4,3,1,36,47,33,46,3,1,2,1,1,0,28,10,45,28,10,41,0,0,4,12,71,12,67,0,4
2011,Mount Greenwood,74,92,10.42,1,0,91,5,86,1565.47,5,13,61,9,3,8,83,85,6,6,0,41,50,37,48,4,2,4,2,0,0,21,15,55,21,15,49,0,0,6,6,85,6,79,0,6
2012,Mount Greenwood,74,43,4.8,1,1,41,6,35,917.93,6,20,13,1,1,5,36,32,9,8,1,14,27,12,20,2,7,2,6,0,1,10,5,26,10,5,17,0,0,9,7,34,7,25,0,9
2013,Mount Greenwood,74,37,4.08,2,0,35,3,32,1949.31,3,10,14,4,4,4,31,33,2,2,0,21,14,20,13,1,1,1,1,0,0,17,5,13,17,5,11,0,0,2,4,31,4,29,0,2
2014,Mount Greenwood,74,48,5.22,6,0,42,6,36,2250.0,6,2,21,10,3,1,41,41,1,1,0,27,15,26,15,1,0,1,0,0,0,21,5,16,20,5,16,1,0,0,3,39,3,38,0,1
2015,Mount Greenwood,74,50,5.37,2,0,48,4,44,1804.29,4,6,28,6,4,0,48,44,4,4,0,30,18,29,15,1,3,1,3,0,0,23,9,16,23,9,12,0,0,4,10,38,10,34,0,4
2016,Mount Greenwood,74,36,3.81,6,0,30,0,30,2596.09,0,3,12,10,5,2,28,24,6,6,0,16,14,12,12,4,2,4,2,0,0,6,7,17,6,7,11,0,0,6,7,23,6,18,1,5
2017,Mount Greenwood,74,31,3.24,4,0,27,3,24,2615.19,3,0,9,11,4,1,26,21,6,5,1,20,7,16,5,4,2,4,1,0,1,13,3,11,12,3,6,1,0,5,8,19,7,14,1,5
2018,Mount Greenwood,74,85,8.78,4,0,81,1,80,1800.72,1,8,53,18,1,2,79,75,6,5,1,26,55,25,50,1,5,1,4,0,1,13,34,34,13,34,28,0,0,6,10,71,10,65,0,6
2019,Mount Greenwood,74,52,5.31,4,0,48,2,46,2126.74,2,1,28,14,3,1,47,46,2,2,0,23,25,22,24,1,1,1,1,0,0,7,10,31,7,10,29,0,0,2,11,37,11,35,0,2
2010,Morgan Park,75,117,5.52,9,1,107,26,81,2703.0,26,9,25,33,14,38,69,99,8,7,1,60,47,58,41,2,6,2,5,0,1,33,9,65,33,8,58,0,1,7,18,89,18,81,0,8
2011,Morgan Park,75,125,5.75,7,1,117,36,81,2255.0,33,7,38,20,19,30,87,106,11,11,0,83,34,76,30,7,4,7,4,0,0,42,8,67,41,7,58,1,1,9,21,96,20,86,1,10
2012,Morgan Park,75,129,5.79,9,1,119,29,90,1915.67,29,12,39,31,8,31,88,105,14,13,1,66,53,61,44,5,9,5,8,0,1,41,10,68,40,10,55,1,0,13,13,106,10,95,3,11
2013,Morgan Park,75,144,6.31,20,1,123,38,85,2473.58,37,12,31,31,12,26,97,104,19,17,2,88,35,76,28,12,7,12,5,0,2,48,8,67,47,8,49,1,0,18,9,114,9,95,0,19
2014,Morgan Park,75,146,6.25,24,2,120,41,79,2700.0,39,7,32,25,17,31,89,111,9,7,2,70,50,65,46,5,4,4,3,1,1,33,7,80,33,7,71,0,0,9,12,108,11,100,1,8
2015,Morgan Park,75,124,5.19,32,1,91,13,78,2757.5,13,7,26,27,18,18,73,82,9,9,0,60,31,55,27,5,4,5,4,0,0,31,9,51,31,9,42,0,0,9,12,79,12,70,0,9
2016,Morgan Park,75,101,4.13,24,0,77,16,61,2250.0,16,6,28,12,15,19,58,68,9,8,1,36,41,33,35,3,6,3,5,0,1,16,19,42,16,18,34,0,1,8,5,72,4,64,1,8
2017,Morgan Park,75,87,3.48,19,1,67,9,58,2868.0,9,4,20,26,8,20,47,56,11,11,0,34,33,29,27,5,6,5,6,0,0,16,17,34,16,17,23,0,0,11,5,62,5,51,0,11
2018,Morgan Park,75,118,4.62,21,1,96,13,83,2612.0,19,2,34,28,13,21,75,87,9,9,0,51,45,46,41,5,4,5,4,0,0,20,21,55,18,20,49,2,1,6,20,76,18,69,2,7
2019,Morgan Park,75,79,3.03,9,1,69,19,50,2809.0,19,1,19,17,13,14,55,53,16,14,2,43,26,32,21,11,5,11,3,0,2,14,5,50,14,5,34,0,0,16,22,47,20,33,2,14
2010,O'Hare,76,106,3.39,2,0,104,15,89,1700.0,13,14,49,23,5,16,88,99,5,4,1,53,51,50,49,3,2,3,1,0,1,31,24,49,31,24,44,0,0,5,12,92,12,87,0,5
2011,O'Hare,76,106,3.29,4,2,100,10,90,2146.68,10,15,39,21,15,7,93,89,11,10,1,62,38,55,34,7,4,6,4,1,0,36,14,50,35,14,40,1,0,10,26,74,25,64,1,10
2012,O'Hare,76,107,3.23,9,0,98,12,86,1896.31,11,14,42,22,9,7,91,88,10,10,0,44,54,39,49,5,5,5,5,0,0,27,15,56,27,15,46,0,0,10,7,91,6,82,1,9
2013,O'Hare,76,110,3.23,7,0,103,9,94,1709.25,8,22,46,20,7,8,95,97,6,6,0,53,50,52,45,1,5,1,5,0,0,37,26,40,37,26,34,0,0,6,11,92,11,86,0,6
2014,O'Hare,76,83,2.37,1,0,82,3,79,1983.8,3,14,38,21,6,5,77,73,9,9,0,41,41,39,34,2,7,2,7,0,0,24,20,38,24,20,29,0,0,9,13,69,13,60,0,9
2015,O'Hare,76,65,1.81,4,0,61,7,54,2277.31,7,4,26,19,5,3,58,56,5,5,0,33,28,32,24,1,4,1,4,0,0,22,10,29,22,9,25,0,1,4,9,52,9,47,0,5
2016,O'Hare,76,55,1.49,6,0,49,4,45,2341.8,3,4,21,11,10,6,43,46,3,2,1,37,12,36,10,1,2,0,2,1,0,24,8,17,24,8,14,0,0,3,7,42,7,39,0,3
2017,O'Hare,76,62,1.64,6,0,56,9,47,2797.76,9,4,16,15,12,7,49,47,9,9,0,25,31,19,28,6,3,6,3,0,0,11,14,31,11,14,22,0,0,9,5,51,4,43,1,8
2018,O'Hare,76,52,1.34,2,0,50,7,43,3000.0,7,3,14,16,10,4,46,44,6,6,0,28,22,23,21,5,1,5,1,0,0,12,12,26,11,12,21,1,0,5,7,43,6,38,1,5
2019,O'Hare,76,79,1.99,2,2,75,5,70,2115.39,5,8,35,16,11,1,74,66,9,6,3,28,47,26,40,2,7,2,4,0,3,15,23,37,15,23,28,0,0,9,12,63,12,54,0,9
2010,Edgewater,77,605,3.08,7,2,596,44,552,2549.45,40,48,218,220,70,41,555,546,50,37,13,353,243,323,223,30,20,26,11,4,9,216,64,316,215,63,268,1,1,48,88,508,84,462,4,46
2011,Edgewater,77,629,3.18,9,3,617,47,570,2612.95,37,54,213,216,97,37,580,558,59,47,12,393,224,366,192,27,32,26,21,1,11,248,64,305,244,61,253,4,3,52,123,494,119,439,4,55
2012,Edgewater,77,687,3.46,11,4,672,57,615,2025.0,37,45,346,175,69,31,641,616,56,46,10,350,322,323,293,27,29,26,20,1,9,200,109,363,195,109,312,5,0,51,146,526,142,474,4,52
2013,Edgewater,77,570,2.85,14,3,553,51,502,1847.5,51,56,291,106,49,25,528,509,44,34,10,301,252,278,231,23,21,23,11,0,10,184,97,272,183,97,229,1,0,43,72,481,71,438,1,43
2014,Edgewater,77,495,2.47,40,1,454,77,377,1950.0,79,37,203,100,35,20,434,422,32,20,12,230,224,216,206,14,18,11,9,3,9,123,70,261,122,70,230,1,0,31,38,416,38,384,0,32
2015,Edgewater,77,459,2.28,49,4,406,146,260,2322.0,145,34,102,79,46,11,395,356,50,41,9,210,196,188,168,22,28,19,22,3,6,119,86,201,117,83,156,2,3,45,36,370,33,323,3,47
2016,Edgewater,77,409,2.02,58,0,351,120,231,2286.8,121,37,83,69,41,12,339,325,26,22,4,169,182,158,167,11,15,11,11,0,4,99,95,157,97,95,133,2,0,24,37,314,36,289,1,25
2017,Edgewater,77,373,1.83,37,1,335,114,221,2605.55,112,25,78,78,42,5,330,310,25,20,5,171,164,160,150,11,14,9,11,2,3,106,76,153,102,75,133,4,1,20,40,295,38,272,2,23
2018,Edgewater,77,392,1.91,28,1,363,94,269,2388.0,96,20,121,87,39,6,357,326,37,31,6,171,192,153,173,18,19,18,13,0,6,88,105,170,86,104,136,2,1,34,54,309,51,275,3,34
2019,Edgewater,77,417,2.03,33,9,375,26,349,2378.0,30,19,170,103,53,10,365,343,32,26,6,166,209,150,193,16,16,14,12,2,4,81,125,169,81,125,137,0,0,32,73,302,71,272,2,30
