NAME,female,state,county,tract,population,period
"Census Tract 1910, Cook County, Illinois",1235.0,17,31,191000,2263.0,2005-2009
"Census Tract 1911, Cook County, Illinois",4046.0,17,31,191100,8249.0,2005-2009
"Census Tract 1912, Cook County, Illinois",1845.0,17,31,191200,3804.0,2005-2009
"Census Tract 1913, Cook County, Illinois",5615.0,17,31,191300,11538.0,2005-2009
"Census Tract 1914, Cook County, Illinois",576.0,17,31,191400,1275.0,2005-2009
"Census Tract 2001, Cook County, Illinois",2105.0,17,31,200100,4492.0,2005-2009
"Census Tract 2002, Cook County, Illinois",2838.0,17,31,200200,5552.0,2005-2009
"Census Tract 2003, Cook County, Illinois",1075.0,17,31,200300,2241.0,2005-2009
"Census Tract 2004, Cook County, Illinois",4235.0,17,31,200400,8727.0,2005-2009
"Census Tract 2005, Cook County, Illinois",1994.0,17,31,200500,4225.0,2005-2009
"Census Tract 2006, Cook County, Illinois",451.0,17,31,200600,823.0,2005-2009
"Census Tract 2101, Cook County, Illinois",2428.0,17,31,210100,4660.0,2005-2009
"Census Tract 2102, Cook County, Illinois",614.0,17,31,210200,1379.0,2005-2009
"Census Tract 2103, Cook County, Illinois",2679.0,17,31,210300,5955.0,2005-2009
"Census Tract 2104, Cook County, Illinois",1012.0,17,31,210400,2415.0,2005-2009
"Census Tract 2105, Cook County, Illinois",4515.0,17,31,210500,9892.0,2005-2009
"Census Tract 2106, Cook County, Illinois",3676.0,17,31,210600,8421.0,2005-2009
"Census Tract 2107, Cook County, Illinois",2245.0,17,31,210700,4939.0,2005-2009
"Census Tract 2108, Cook County, Illinois",585.0,17,31,210800,1450.0,2005-2009
"Census Tract 2109, Cook County, Illinois",1635.0,17,31,210900,3076.0,2005-2009
"Census Tract 2201, Cook County, Illinois",538.0,17,31,220100,1164.0,2005-2009
"Census Tract 2202, Cook County, Illinois",1107.0,17,31,220200,2138.0,2005-2009
"Census Tract 2203, Cook County, Illinois",1251.0,17,31,220300,2648.0,2005-2009
"Census Tract 2204, Cook County, Illinois",1406.0,17,31,220400,2741.0,2005-2009
"Census Tract 2604, Cook County, Illinois",675.0,17,31,260400,1231.0,2005-2009
"Census Tract 2605, Cook County, Illinois",865.0,17,31,260500,1641.0,2005-2009
"Census Tract 2606, Cook County, Illinois",1679.0,17,31,260600,2769.0,2005-2009
"Census Tract 2607, Cook County, Illinois",1048.0,17,31,260700,2234.0,2005-2009
"Census Tract 2608, Cook County, Illinois",1553.0,17,31,260800,2901.0,2005-2009
"Census Tract 2609, Cook County, Illinois",991.0,17,31,260900,1687.0,2005-2009
"Census Tract 2610, Cook County, Illinois",1172.0,17,31,261000,2199.0,2005-2009
"Census Tract 2701, Cook County, Illinois",109.0,17,31,270100,119.0,2005-2009
"Census Tract 2702, Cook County, Illinois",882.0,17,31,270200,1738.0,2005-2009
"Census Tract 2703, Cook County, Illinois",912.0,17,31,270300,2445.0,2005-2009
"Census Tract 2704, Cook County, Illinois",722.0,17,31,270400,1443.0,2005-2009
"Census Tract 2705, Cook County, Illinois",1071.0,17,31,270500,2085.0,2005-2009
"Census Tract 2706, Cook County, Illinois",538.0,17,31,270600,932.0,2005-2009
"Census Tract 2707, Cook County, Illinois",224.0,17,31,270700,482.0,2005-2009
"Census Tract 2708, Cook County, Illinois",333.0,17,31,270800,634.0,2005-2009
"Census Tract 2709, Cook County, Illinois",80.0,17,31,270900,154.0,2005-2009
"Census Tract 2710, Cook County, Illinois",522.0,17,31,271000,955.0,2005-2009
"Census Tract 2711, Cook County, Illinois",793.0,17,31,271100,1350.0,2005-2009
"Census Tract 2712, Cook County, Illinois",984.0,17,31,271200,1596.0,2005-2009
"Census Tract 2713, Cook County, Illinois",702.0,17,31,271300,1309.0,2005-2009
"Census Tract 2714, Cook County, Illinois",708.0,17,31,271400,1275.0,2005-2009
"Census Tract 2715, Cook County, Illinois",747.0,17,31,271500,1201.0,2005-2009
"Census Tract 2716, Cook County, Illinois",256.0,17,31,271600,801.0,2005-2009
"Census Tract 2717, Cook County, Illinois",611.0,17,31,271700,1133.0,2005-2009
"Census Tract 2718, Cook County, Illinois",364.0,17,31,271800,569.0,2005-2009
"Census Tract 2719, Cook County, Illinois",368.0,17,31,271900,694.0,2005-2009
"Census Tract 2801, Cook County, Illinois",1468.0,17,31,280100,3075.0,2005-2009
"Census Tract 2802, Cook County, Illinois",1551.0,17,31,280200,2728.0,2005-2009
"Census Tract 2803, Cook County, Illinois",377.0,17,31,280300,819.0,2005-2009
"Census Tract 2804, Cook County, Illinois",576.0,17,31,280400,826.0,2005-2009
"Census Tract 2805, Cook County, Illinois",468.0,17,31,280500,953.0,2005-2009
"Census Tract 2806, Cook County, Illinois",63.0,17,31,280600,241.0,2005-2009
"Census Tract 2807, Cook County, Illinois",159.0,17,31,280700,281.0,2005-2009
"Census Tract 2808, Cook County, Illinois",313.0,17,31,280800,631.0,2005-2009
"Census Tract 2809, Cook County, Illinois",768.0,17,31,280900,1124.0,2005-2009
"Census Tract 2810, Cook County, Illinois",128.0,17,31,281000,313.0,2005-2009
"Census Tract 2811, Cook County, Illinois",213.0,17,31,281100,333.0,2005-2009
"Census Tract 2812, Cook County, Illinois",372.0,17,31,281200,744.0,2005-2009
"Census Tract 2813, Cook County, Illinois",1077.0,17,31,281300,1793.0,2005-2009
"Census Tract 2814, Cook County, Illinois",166.0,17,31,281400,300.0,2005-2009
"Census Tract 2815, Cook County, Illinois",187.0,17,31,281500,281.0,2005-2009
"Census Tract 2816, Cook County, Illinois",408.0,17,31,281600,1042.0,2005-2009
"Census Tract 2817, Cook County, Illinois",1653.0,17,31,281700,3309.0,2005-2009
"Census Tract 2818, Cook County, Illinois",1264.0,17,31,281800,2888.0,2005-2009
"Census Tract 2819, Cook County, Illinois",1562.0,17,31,281900,3873.0,2005-2009
"Census Tract 2820, Cook County, Illinois",560.0,17,31,282000,1126.0,2005-2009
"Census Tract 2821, Cook County, Illinois",1045.0,17,31,282100,1869.0,2005-2009
"Census Tract 2822, Cook County, Illinois",926.0,17,31,282200,1688.0,2005-2009
"Census Tract 2823, Cook County, Illinois",333.0,17,31,282300,855.0,2005-2009
"Census Tract 2824, Cook County, Illinois",782.0,17,31,282400,1697.0,2005-2009
"Census Tract 2825, Cook County, Illinois",179.0,17,31,282500,556.0,2005-2009
"Census Tract 2826, Cook County, Illinois",198.0,17,31,282600,425.0,2005-2009
"Census Tract 2827, Cook County, Illinois",1124.0,17,31,282700,2460.0,2005-2009
"Census Tract 2205, Cook County, Illinois",1464.0,17,31,220500,3119.0,2005-2009
"Census Tract 2206, Cook County, Illinois",3704.0,17,31,220600,7597.0,2005-2009
"Census Tract 2207, Cook County, Illinois",4273.0,17,31,220700,8632.0,2005-2009
"Census Tract 2208, Cook County, Illinois",20.0,17,31,220800,20.0,2005-2009
"Census Tract 2209, Cook County, Illinois",3424.0,17,31,220900,7248.0,2005-2009
"Census Tract 2210, Cook County, Illinois",1504.0,17,31,221000,2726.0,2005-2009
"Census Tract 2211, Cook County, Illinois",2836.0,17,31,221100,6034.0,2005-2009
"Census Tract 2212, Cook County, Illinois",1097.0,17,31,221200,2472.0,2005-2009
"Census Tract 2213, Cook County, Illinois",1622.0,17,31,221300,3035.0,2005-2009
"Census Tract 2214, Cook County, Illinois",1222.0,17,31,221400,3092.0,2005-2009
"Census Tract 2215, Cook County, Illinois",1671.0,17,31,221500,3508.0,2005-2009
"Census Tract 2216, Cook County, Illinois",1359.0,17,31,221600,2726.0,2005-2009
"Census Tract 2217, Cook County, Illinois",1051.0,17,31,221700,2461.0,2005-2009
"Census Tract 2218, Cook County, Illinois",973.0,17,31,221800,1949.0,2005-2009
"Census Tract 2219, Cook County, Illinois",306.0,17,31,221900,656.0,2005-2009
"Census Tract 2220, Cook County, Illinois",859.0,17,31,222000,1642.0,2005-2009
"Census Tract 2221, Cook County, Illinois",391.0,17,31,222100,858.0,2005-2009
"Census Tract 2222, Cook County, Illinois",954.0,17,31,222200,2075.0,2005-2009
"Census Tract 2223, Cook County, Illinois",953.0,17,31,222300,1456.0,2005-2009
"Census Tract 2224, Cook County, Illinois",1134.0,17,31,222400,2250.0,2005-2009
"Census Tract 2225, Cook County, Illinois",765.0,17,31,222500,1549.0,2005-2009
"Census Tract 2226, Cook County, Illinois",794.0,17,31,222600,1665.0,2005-2009
"Census Tract 2227, Cook County, Illinois",1662.0,17,31,222700,3116.0,2005-2009
"Census Tract 2228, Cook County, Illinois",596.0,17,31,222800,936.0,2005-2009
"Census Tract 2229, Cook County, Illinois",809.0,17,31,222900,1627.0,2005-2009
"Census Tract 2301, Cook County, Illinois",1048.0,17,31,230100,1943.0,2005-2009
"Census Tract 2302, Cook County, Illinois",882.0,17,31,230200,1615.0,2005-2009
"Census Tract 2303, Cook County, Illinois",561.0,17,31,230300,1241.0,2005-2009
"Census Tract 2304, Cook County, Illinois",1266.0,17,31,230400,2585.0,2005-2009
"Census Tract 2305, Cook County, Illinois",1447.0,17,31,230500,3019.0,2005-2009
"Census Tract 2306, Cook County, Illinois",3121.0,17,31,230600,6778.0,2005-2009
"Census Tract 2307, Cook County, Illinois",3267.0,17,31,230700,6403.0,2005-2009
"Census Tract 2308, Cook County, Illinois",799.0,17,31,230800,1751.0,2005-2009
"Census Tract 2309, Cook County, Illinois",2922.0,17,31,230900,5920.0,2005-2009
"Census Tract 2310, Cook County, Illinois",1504.0,17,31,231000,3213.0,2005-2009
"Census Tract 2311, Cook County, Illinois",693.0,17,31,231100,1230.0,2005-2009
"Census Tract 2312, Cook County, Illinois",3229.0,17,31,231200,6820.0,2005-2009
"Census Tract 2313, Cook County, Illinois",3323.0,17,31,231300,6150.0,2005-2009
"Census Tract 2314, Cook County, Illinois",0.0,17,31,231400,0.0,2005-2009
"Census Tract 2315, Cook County, Illinois",3161.0,17,31,231500,5624.0,2005-2009
"Census Tract 2316, Cook County, Illinois",1037.0,17,31,231600,1565.0,2005-2009
"Census Tract 2317, Cook County, Illinois",669.0,17,31,231700,1292.0,2005-2009
"Census Tract 2318, Cook County, Illinois",283.0,17,31,231800,614.0,2005-2009
"Census Tract 2401, Cook County, Illinois",15.0,17,31,240100,141.0,2005-2009
"Census Tract 2402, Cook County, Illinois",787.0,17,31,240200,1661.0,2005-2009
"Census Tract 2403, Cook County, Illinois",530.0,17,31,240300,1221.0,2005-2009
"Census Tract 2404, Cook County, Illinois",443.0,17,31,240400,878.0,2005-2009
"Census Tract 2405, Cook County, Illinois",846.0,17,31,240500,2162.0,2005-2009
"Census Tract 2406, Cook County, Illinois",555.0,17,31,240600,1398.0,2005-2009
"Census Tract 2407, Cook County, Illinois",786.0,17,31,240700,1737.0,2005-2009
"Census Tract 2408, Cook County, Illinois",979.0,17,31,240800,1963.0,2005-2009
"Census Tract 2409, Cook County, Illinois",743.0,17,31,240900,1332.0,2005-2009
"Census Tract 2410, Cook County, Illinois",1463.0,17,31,241000,2607.0,2005-2009
"Census Tract 2411, Cook County, Illinois",2083.0,17,31,241100,4352.0,2005-2009
"Census Tract 2412, Cook County, Illinois",1002.0,17,31,241200,1847.0,2005-2009
"Census Tract 2413, Cook County, Illinois",850.0,17,31,241300,1817.0,2005-2009
"Census Tract 2414, Cook County, Illinois",2317.0,17,31,241400,4858.0,2005-2009
"Census Tract 2415, Cook County, Illinois",1464.0,17,31,241500,3189.0,2005-2009
"Census Tract 2416, Cook County, Illinois",2089.0,17,31,241600,4054.0,2005-2009
"Census Tract 2417, Cook County, Illinois",19.0,17,31,241700,142.0,2005-2009
"Census Tract 2418, Cook County, Illinois",550.0,17,31,241800,930.0,2005-2009
"Census Tract 2419, Cook County, Illinois",497.0,17,31,241900,1067.0,2005-2009
"Census Tract 2420, Cook County, Illinois",1943.0,17,31,242000,4414.0,2005-2009
"Census Tract 2421, Cook County, Illinois",1504.0,17,31,242100,3409.0,2005-2009
"Census Tract 2422, Cook County, Illinois",1926.0,17,31,242200,4097.0,2005-2009
"Census Tract 2423, Cook County, Illinois",1919.0,17,31,242300,3718.0,2005-2009
"Census Tract 2424, Cook County, Illinois",1465.0,17,31,242400,2857.0,2005-2009
"Census Tract 2425, Cook County, Illinois",2380.0,17,31,242500,4468.0,2005-2009
"Census Tract 2426, Cook County, Illinois",2606.0,17,31,242600,5031.0,2005-2009
"Census Tract 2427, Cook County, Illinois",1322.0,17,31,242700,2157.0,2005-2009
"Census Tract 2428, Cook County, Illinois",698.0,17,31,242800,1621.0,2005-2009
"Census Tract 2429, Cook County, Illinois",925.0,17,31,242900,1907.0,2005-2009
"Census Tract 2430, Cook County, Illinois",1158.0,17,31,243000,2437.0,2005-2009
"Census Tract 2431, Cook County, Illinois",1008.0,17,31,243100,1956.0,2005-2009
"Census Tract 2432, Cook County, Illinois",901.0,17,31,243200,1896.0,2005-2009
"Census Tract 2433, Cook County, Illinois",1226.0,17,31,243300,2427.0,2005-2009
"Census Tract 2434, Cook County, Illinois",1116.0,17,31,243400,2734.0,2005-2009
"Census Tract 2435, Cook County, Illinois",1470.0,17,31,243500,3080.0,2005-2009
"Census Tract 2436, Cook County, Illinois",365.0,17,31,243600,789.0,2005-2009
"Census Tract 2501, Cook County, Illinois",87.0,17,31,250100,177.0,2005-2009
"Census Tract 2502, Cook County, Illinois",1519.0,17,31,250200,3105.0,2005-2009
"Census Tract 2503, Cook County, Illinois",2395.0,17,31,250300,4146.0,2005-2009
"Census Tract 2504, Cook County, Illinois",3921.0,17,31,250400,7749.0,2005-2009
"Census Tract 2505, Cook County, Illinois",4109.0,17,31,250500,7960.0,2005-2009
"Census Tract 2506, Cook County, Illinois",2868.0,17,31,250600,5161.0,2005-2009
"Census Tract 2507, Cook County, Illinois",3241.0,17,31,250700,6037.0,2005-2009
"Census Tract 2508, Cook County, Illinois",1481.0,17,31,250800,2488.0,2005-2009
"Census Tract 2509, Cook County, Illinois",463.0,17,31,250900,926.0,2005-2009
"Census Tract 2510, Cook County, Illinois",729.0,17,31,251000,1138.0,2005-2009
"Census Tract 2511, Cook County, Illinois",2245.0,17,31,251100,4498.0,2005-2009
"Census Tract 2512, Cook County, Illinois",2424.0,17,31,251200,4280.0,2005-2009
"Census Tract 2513, Cook County, Illinois",3499.0,17,31,251300,5914.0,2005-2009
"Census Tract 2514, Cook County, Illinois",2213.0,17,31,251400,4189.0,2005-2009
"Census Tract 2515, Cook County, Illinois",2407.0,17,31,251500,4477.0,2005-2009
"Census Tract 2516, Cook County, Illinois",1718.0,17,31,251600,3273.0,2005-2009
"Census Tract 2517, Cook County, Illinois",842.0,17,31,251700,1259.0,2005-2009
"Census Tract 2518, Cook County, Illinois",3250.0,17,31,251800,5635.0,2005-2009
"Census Tract 2519, Cook County, Illinois",2955.0,17,31,251900,5691.0,2005-2009
"Census Tract 2520, Cook County, Illinois",3153.0,17,31,252000,5269.0,2005-2009
"Census Tract 2521, Cook County, Illinois",5223.0,17,31,252100,9243.0,2005-2009
"Census Tract 2522, Cook County, Illinois",3842.0,17,31,252200,7372.0,2005-2009
"Census Tract 2523, Cook County, Illinois",192.0,17,31,252300,671.0,2005-2009
"Census Tract 2524, Cook County, Illinois",1371.0,17,31,252400,2646.0,2005-2009
"Census Tract 2601, Cook County, Illinois",788.0,17,31,260100,1432.0,2005-2009
"Census Tract 2602, Cook County, Illinois",675.0,17,31,260200,1141.0,2005-2009
"Census Tract 2603, Cook County, Illinois",1171.0,17,31,260300,2029.0,2005-2009
"Census Tract 0, Cook County, Illinois",0.0,17,31,0,0.0,2005-2009
"Census Tract 101, Cook County, Illinois",2771.0,17,31,10100,4835.0,2005-2009
"Census Tract 102, Cook County, Illinois",4437.0,17,31,10200,8830.0,2005-2009
"Census Tract 103, Cook County, Illinois",3145.0,17,31,10300,6571.0,2005-2009
"Census Tract 104, Cook County, Illinois",2695.0,17,31,10400,4997.0,2005-2009
"Census Tract 105, Cook County, Illinois",4630.0,17,31,10500,9049.0,2005-2009
"Census Tract 106, Cook County, Illinois",3319.0,17,31,10600,7075.0,2005-2009
"Census Tract 107, Cook County, Illinois",4342.0,17,31,10700,9570.0,2005-2009
"Census Tract 108, Cook County, Illinois",2001.0,17,31,10800,4074.0,2005-2009
"Census Tract 109, Cook County, Illinois",553.0,17,31,10900,1124.0,2005-2009
"Census Tract 201, Cook County, Illinois",2365.0,17,31,20100,3736.0,2005-2009
"Census Tract 202, Cook County, Illinois",3897.0,17,31,20200,6850.0,2005-2009
"Census Tract 203, Cook County, Illinois",4610.0,17,31,20300,9301.0,2005-2009
"Census Tract 204, Cook County, Illinois",2151.0,17,31,20400,4214.0,2005-2009
"Census Tract 205, Cook County, Illinois",2430.0,17,31,20500,5409.0,2005-2009
"Census Tract 206, Cook County, Illinois",5357.0,17,31,20600,10281.0,2005-2009
"Census Tract 207, Cook County, Illinois",4510.0,17,31,20700,8808.0,2005-2009
"Census Tract 208, Cook County, Illinois",7073.0,17,31,20800,13368.0,2005-2009
"Census Tract 209, Cook County, Illinois",4797.0,17,31,20900,9948.0,2005-2009
"Census Tract 301, Cook County, Illinois",7067.0,17,31,30100,13214.0,2005-2009
"Census Tract 302, Cook County, Illinois",2834.0,17,31,30200,5798.0,2005-2009
"Census Tract 303, Cook County, Illinois",1351.0,17,31,30300,2834.0,2005-2009
"Census Tract 304, Cook County, Illinois",1278.0,17,31,30400,2687.0,2005-2009
"Census Tract 305, Cook County, Illinois",2976.0,17,31,30500,6604.0,2005-2009
"Census Tract 306, Cook County, Illinois",4303.0,17,31,30600,9033.0,2005-2009
"Census Tract 307, Cook County, Illinois",5133.0,17,31,30700,9841.0,2005-2009
"Census Tract 308, Cook County, Illinois",2284.0,17,31,30800,4481.0,2005-2009
"Census Tract 309, Cook County, Illinois",1551.0,17,31,30900,3354.0,2005-2009
"Census Tract 310, Cook County, Illinois",2840.0,17,31,31000,4847.0,2005-2009
"Census Tract 311, Cook County, Illinois",1818.0,17,31,31100,4153.0,2005-2009
"Census Tract 312, Cook County, Illinois",2570.0,17,31,31200,6572.0,2005-2009
"Census Tract 313, Cook County, Illinois",3204.0,17,31,31300,6940.0,2005-2009
"Census Tract 314, Cook County, Illinois",3127.0,17,31,31400,5542.0,2005-2009
"Census Tract 315, Cook County, Illinois",4419.0,17,31,31500,9926.0,2005-2009
"Census Tract 316, Cook County, Illinois",993.0,17,31,31600,2394.0,2005-2009
"Census Tract 317, Cook County, Illinois",3004.0,17,31,31700,7211.0,2005-2009
"Census Tract 318, Cook County, Illinois",934.0,17,31,31800,2016.0,2005-2009
"Census Tract 319, Cook County, Illinois",1217.0,17,31,31900,2620.0,2005-2009
"Census Tract 320, Cook County, Illinois",354.0,17,31,32000,733.0,2005-2009
"Census Tract 321, Cook County, Illinois",3214.0,17,31,32100,7116.0,2005-2009
"Census Tract 401, Cook County, Illinois",2259.0,17,31,40100,4569.0,2005-2009
"Census Tract 402, Cook County, Illinois",6711.0,17,31,40200,13076.0,2005-2009
"Census Tract 403, Cook County, Illinois",1411.0,17,31,40300,3048.0,2005-2009
"Census Tract 404, Cook County, Illinois",4020.0,17,31,40400,8238.0,2005-2009
"Census Tract 405, Cook County, Illinois",519.0,17,31,40500,1050.0,2005-2009
"Census Tract 406, Cook County, Illinois",1403.0,17,31,40600,2694.0,2005-2009
"Census Tract 407, Cook County, Illinois",1661.0,17,31,40700,3379.0,2005-2009
"Census Tract 408, Cook County, Illinois",901.0,17,31,40800,1664.0,2005-2009
"Census Tract 409, Cook County, Illinois",1076.0,17,31,40900,1928.0,2005-2009
"Census Tract 410, Cook County, Illinois",699.0,17,31,41000,1325.0,2005-2009
"Census Tract 501, Cook County, Illinois",1247.0,17,31,50100,2396.0,2005-2009
"Census Tract 502, Cook County, Illinois",2590.0,17,31,50200,4968.0,2005-2009
"Census Tract 503, Cook County, Illinois",1326.0,17,31,50300,2571.0,2005-2009
"Census Tract 504, Cook County, Illinois",518.0,17,31,50400,978.0,2005-2009
"Census Tract 505, Cook County, Illinois",2767.0,17,31,50500,5473.0,2005-2009
"Census Tract 506, Cook County, Illinois",1067.0,17,31,50600,2090.0,2005-2009
"Census Tract 507, Cook County, Illinois",1112.0,17,31,50700,2033.0,2005-2009
"Census Tract 508, Cook County, Illinois",629.0,17,31,50800,1362.0,2005-2009
"Census Tract 509, Cook County, Illinois",735.0,17,31,50900,1421.0,2005-2009
"Census Tract 510, Cook County, Illinois",695.0,17,31,51000,1350.0,2005-2009
"Census Tract 511, Cook County, Illinois",982.0,17,31,51100,1594.0,2005-2009
"Census Tract 512, Cook County, Illinois",1086.0,17,31,51200,2077.0,2005-2009
"Census Tract 513, Cook County, Illinois",1470.0,17,31,51300,2815.0,2005-2009
"Census Tract 514, Cook County, Illinois",1119.0,17,31,51400,2267.0,2005-2009
"Census Tract 515, Cook County, Illinois",630.0,17,31,51500,1228.0,2005-2009
"Census Tract 601, Cook County, Illinois",1520.0,17,31,60100,3062.0,2005-2009
"Census Tract 602, Cook County, Illinois",1124.0,17,31,60200,2069.0,2005-2009
"Census Tract 603, Cook County, Illinois",1657.0,17,31,60300,3257.0,2005-2009
"Census Tract 604, Cook County, Illinois",1922.0,17,31,60400,3803.0,2005-2009
"Census Tract 605, Cook County, Illinois",728.0,17,31,60500,1252.0,2005-2009
"Census Tract 606, Cook County, Illinois",469.0,17,31,60600,1200.0,2005-2009
"Census Tract 607, Cook County, Illinois",891.0,17,31,60700,2325.0,2005-2009
"Census Tract 608, Cook County, Illinois",2591.0,17,31,60800,5106.0,2005-2009
"Census Tract 609, Cook County, Illinois",3290.0,17,31,60900,6584.0,2005-2009
"Census Tract 610, Cook County, Illinois",827.0,17,31,61000,1667.0,2005-2009
"Census Tract 611, Cook County, Illinois",627.0,17,31,61100,1356.0,2005-2009
"Census Tract 612, Cook County, Illinois",1245.0,17,31,61200,2024.0,2005-2009
"Census Tract 613, Cook County, Illinois",756.0,17,31,61300,1493.0,2005-2009
"Census Tract 614, Cook County, Illinois",895.0,17,31,61400,1625.0,2005-2009
"Census Tract 615, Cook County, Illinois",1050.0,17,31,61500,2032.0,2005-2009
"Census Tract 616, Cook County, Illinois",236.0,17,31,61600,717.0,2005-2009
"Census Tract 617, Cook County, Illinois",548.0,17,31,61700,1380.0,2005-2009
"Census Tract 618, Cook County, Illinois",415.0,17,31,61800,855.0,2005-2009
"Census Tract 619, Cook County, Illinois",3637.0,17,31,61900,7732.0,2005-2009
"Census Tract 620, Cook County, Illinois",1206.0,17,31,62000,2566.0,2005-2009
"Census Tract 621, Cook County, Illinois",1809.0,17,31,62100,3332.0,2005-2009
"Census Tract 622, Cook County, Illinois",1391.0,17,31,62200,2987.0,2005-2009
"Census Tract 623, Cook County, Illinois",864.0,17,31,62300,1749.0,2005-2009
"Census Tract 624, Cook County, Illinois",911.0,17,31,62400,1769.0,2005-2009
"Census Tract 625, Cook County, Illinois",693.0,17,31,62500,1728.0,2005-2009
"Census Tract 626, Cook County, Illinois",1043.0,17,31,62600,2131.0,2005-2009
"Census Tract 627, Cook County, Illinois",1315.0,17,31,62700,2705.0,2005-2009
"Census Tract 628, Cook County, Illinois",1437.0,17,31,62800,3514.0,2005-2009
"Census Tract 629, Cook County, Illinois",1995.0,17,31,62900,4114.0,2005-2009
"Census Tract 630, Cook County, Illinois",2167.0,17,31,63000,3963.0,2005-2009
"Census Tract 631, Cook County, Illinois",1145.0,17,31,63100,2330.0,2005-2009
"Census Tract 632, Cook County, Illinois",3625.0,17,31,63200,6587.0,2005-2009
"Census Tract 633, Cook County, Illinois",5030.0,17,31,63300,8481.0,2005-2009
"Census Tract 634, Cook County, Illinois",1192.0,17,31,63400,2049.0,2005-2009
"Census Tract 701, Cook County, Illinois",4626.0,17,31,70100,8305.0,2005-2009
"Census Tract 702, Cook County, Illinois",1840.0,17,31,70200,3989.0,2005-2009
"Census Tract 703, Cook County, Illinois",1762.0,17,31,70300,3458.0,2005-2009
"Census Tract 704, Cook County, Illinois",1632.0,17,31,70400,3435.0,2005-2009
"Census Tract 705, Cook County, Illinois",1602.0,17,31,70500,3382.0,2005-2009
"Census Tract 706, Cook County, Illinois",1569.0,17,31,70600,3053.0,2005-2009
"Census Tract 707, Cook County, Illinois",1262.0,17,31,70700,2677.0,2005-2009
"Census Tract 708, Cook County, Illinois",886.0,17,31,70800,1448.0,2005-2009
"Census Tract 709, Cook County, Illinois",1144.0,17,31,70900,2278.0,2005-2009
"Census Tract 710, Cook County, Illinois",3972.0,17,31,71000,6318.0,2005-2009
"Census Tract 711, Cook County, Illinois",1615.0,17,31,71100,3024.0,2005-2009
"Census Tract 712, Cook County, Illinois",1280.0,17,31,71200,2130.0,2005-2009
"Census Tract 713, Cook County, Illinois",2140.0,17,31,71300,3964.0,2005-2009
"Census Tract 714, Cook County, Illinois",2647.0,17,31,71400,5128.0,2005-2009
"Census Tract 715, Cook County, Illinois",2649.0,17,31,71500,5408.0,2005-2009
"Census Tract 716, Cook County, Illinois",1143.0,17,31,71600,2160.0,2005-2009
"Census Tract 717, Cook County, Illinois",832.0,17,31,71700,1853.0,2005-2009
"Census Tract 718, Cook County, Illinois",1496.0,17,31,71800,3134.0,2005-2009
"Census Tract 719, Cook County, Illinois",1673.0,17,31,71900,3413.0,2005-2009
"Census Tract 720, Cook County, Illinois",483.0,17,31,72000,961.0,2005-2009
