NAME,white,black,native,asian,hawaii_pacific,other,two_or_more,state,county,tract,population,period
Census Tract 8158; Cook County; Illinois,1496.0,45.0,0.0,30.0,0.0,17.0,132.0,17,31,815800,1720.0,2018-2022
Census Tract 8159; Cook County; Illinois,2434.0,1359.0,68.0,521.0,0.0,180.0,194.0,17,31,815900,4756.0,2018-2022
Census Tract 8160; Cook County; Illinois,2227.0,600.0,0.0,133.0,0.0,281.0,200.0,17,31,816000,3441.0,2018-2022
Census Tract 8161; Cook County; Illinois,3223.0,1619.0,12.0,292.0,0.0,394.0,428.0,17,31,816100,5968.0,2018-2022
Census Tract 8162; Cook County; Illinois,2818.0,341.0,39.0,49.0,0.0,921.0,466.0,17,31,816200,4634.0,2018-2022
Census Tract 8163; Cook County; Illinois,1696.0,91.0,6.0,41.0,0.0,1516.0,1511.0,17,31,816300,4861.0,2018-2022
Census Tract 8164.01; Cook County; Illinois,1152.0,29.0,87.0,0.0,0.0,1890.0,603.0,17,31,816401,3761.0,2018-2022
Census Tract 8164.02; Cook County; Illinois,1408.0,260.0,9.0,0.0,0.0,1597.0,1706.0,17,31,816402,4980.0,2018-2022
Census Tract 8165; Cook County; Illinois,1386.0,62.0,33.0,0.0,0.0,1754.0,810.0,17,31,816500,4045.0,2018-2022
Census Tract 8166; Cook County; Illinois,1572.0,53.0,0.0,11.0,0.0,1811.0,923.0,17,31,816600,4370.0,2018-2022
Census Tract 8167; Cook County; Illinois,1089.0,132.0,0.0,217.0,0.0,1014.0,358.0,17,31,816700,2810.0,2018-2022
Census Tract 8168; Cook County; Illinois,2366.0,1379.0,50.0,91.0,0.0,1064.0,586.0,17,31,816800,5536.0,2018-2022
