NAME,no_hs,hs,some_college,state,county,tract,bachelors,graduate,population,period
"Census Tract 1710, Cook County, Illinois",0.10358788217227419,0.2892642747452185,0.20689655172413793,17,31,171000,0.13485969565824374,0.05472567360044674,7163.0,2005-2009
"Census Tract 1711, Cook County, Illinois",0.18551433014885582,0.24794490113308154,0.19840035547656076,17,31,171100,0.09153521439680071,0.04910019995556543,4501.0,2005-2009
"Census Tract 1801, Cook County, Illinois",0.17183098591549295,0.2468495181616012,0.2078576723498888,17,31,180100,0.11237954040029652,0.015122312824314307,6745.0,2005-2009
"Census Tract 1802, Cook County, Illinois",0.22537562604340566,0.269236606465321,0.18090757322810747,17,31,180200,0.06359083320685992,0.027014721505539536,6589.0,2005-2009
"Census Tract 1803, Cook County, Illinois",0.21849427168576105,0.24386252045826515,0.14238952536824878,17,31,180300,0.15057283142389524,0.060556464811783964,1222.0,2005-2009
"Census Tract 1901, Cook County, Illinois",0.28647759967118785,0.2240032881216605,0.1792026304973284,17,31,190100,0.03329223181257707,0.0,2433.0,2005-2009
"Census Tract 1902, Cook County, Illinois",0.20015822784810128,0.2892405063291139,0.16629746835443038,17,31,190200,0.05458860759493671,0.025474683544303798,6320.0,2005-2009
"Census Tract 1903, Cook County, Illinois",0.18783311891196472,0.2644734423819151,0.21962874471604485,17,31,190300,0.072045579856644,0.03639036941738651,5441.0,2005-2009
"Census Tract 1904, Cook County, Illinois",0.18313557673604358,0.30830577708617,0.14257926473448745,17,31,190400,0.08762886597938144,0.008753160863645205,10282.0,2005-2009
"Census Tract 1905, Cook County, Illinois",0.20810107766629507,0.15310293571163136,0.29654403567447046,17,31,190500,0.08435525826830174,0.0126347082868822,2691.0,2005-2009
"Census Tract 1906, Cook County, Illinois",0.1942976772006779,0.2777390090718772,0.16857741002891038,17,31,190600,0.06808892433456286,0.01824344531950952,10031.0,2005-2009
"Census Tract 1907, Cook County, Illinois",0.2343610080593578,0.24561852373033133,0.14519636689266982,17,31,190700,0.0395292311628502,0.024817705001918895,7817.0,2005-2009
"Census Tract 1908, Cook County, Illinois",0.27230368644648484,0.23489105111689734,0.11497875839386049,17,31,190800,0.038371933671371795,0.00918185555707825,7297.0,2005-2009
"Census Tract 1909, Cook County, Illinois",0.2142501245640259,0.1753861484803189,0.18734429496761335,17,31,190900,0.06925759840558046,0.025411061285500747,2007.0,2005-2009
"Census Tract 1910, Cook County, Illinois",0.3685373398144057,0.13875386654882899,0.14803358373840036,17,31,191000,0.008395934600088379,0.0026513477684489617,2263.0,2005-2009
"Census Tract 1911, Cook County, Illinois",0.3162807613044005,0.22523942296035884,0.09092011152867015,17,31,191100,0.040368529518729546,0.0130924960601285,8249.0,2005-2009
"Census Tract 1912, Cook County, Illinois",0.323869610935857,0.1422187171398528,0.05310199789695058,17,31,191200,0.01629863301787592,0.010515247108307046,3804.0,2005-2009
"Census Tract 1913, Cook County, Illinois",0.296931877275091,0.19466111977812445,0.1345987172820246,17,31,191300,0.022014213901889408,0.008407002946784538,11538.0,2005-2009
"Census Tract 1914, Cook County, Illinois",0.3176470588235294,0.18588235294117647,0.16627450980392156,17,31,191400,0.058823529411764705,0.023529411764705882,1275.0,2005-2009
"Census Tract 2001, Cook County, Illinois",0.2223953695458593,0.22395369545859306,0.1640694568121104,17,31,200100,0.06455921638468388,0.013802315227070348,4492.0,2005-2009
"Census Tract 2002, Cook County, Illinois",0.19740634005763688,0.23432997118155618,0.17705331412103748,17,31,200200,0.05817723342939481,0.01909221902017291,5552.0,2005-2009
"Census Tract 2003, Cook County, Illinois",0.28023203926818385,0.22713074520303436,0.1459170013386881,17,31,200300,0.04373047746541722,0.009370816599732263,2241.0,2005-2009
"Census Tract 2004, Cook County, Illinois",0.32004125128910277,0.22734043772201215,0.11275352354761087,17,31,200400,0.046980634811504524,0.005958519537068867,8727.0,2005-2009
"Census Tract 2005, Cook County, Illinois",0.24449704142011836,0.23384615384615384,0.1476923076923077,17,31,200500,0.013964497041420118,0.005207100591715977,4225.0,2005-2009
"Census Tract 2006, Cook County, Illinois",0.3219927095990279,0.1543134872417983,0.13487241798298907,17,31,200600,0.04495747266099635,0.07047387606318348,823.0,2005-2009
"Census Tract 2101, Cook County, Illinois",0.15686695278969956,0.2225321888412017,0.21695278969957082,17,31,210100,0.12660944206008584,0.04914163090128755,4660.0,2005-2009
"Census Tract 2102, Cook County, Illinois",0.3357505438723713,0.19434372733865118,0.16171138506163887,17,31,210200,0.048585931834662796,0.048585931834662796,1379.0,2005-2009
"Census Tract 2103, Cook County, Illinois",0.23778337531486146,0.17531486146095718,0.2,17,31,210300,0.11486146095717883,0.05020990764063812,5955.0,2005-2009
"Census Tract 2104, Cook County, Illinois",0.2020703933747412,0.23519668737060043,0.20372670807453416,17,31,210400,0.1556935817805383,0.014906832298136646,2415.0,2005-2009
"Census Tract 2105, Cook County, Illinois",0.25556004852405984,0.2547513141932875,0.1459765467044076,17,31,210500,0.07025879498584715,0.008592802264456125,9892.0,2005-2009
"Census Tract 2106, Cook County, Illinois",0.24403277520484504,0.2670704191901199,0.17230732692079326,17,31,210600,0.07315045719035744,0.01935637097731861,8421.0,2005-2009
"Census Tract 2107, Cook County, Illinois",0.17290949584936222,0.22150232840656003,0.2156306944725653,17,31,210700,0.13140311804008908,0.03968414658837822,4939.0,2005-2009
"Census Tract 2108, Cook County, Illinois",0.18758620689655173,0.13655172413793104,0.20206896551724138,17,31,210800,0.10482758620689656,0.05448275862068966,1450.0,2005-2009
"Census Tract 2109, Cook County, Illinois",0.14889466840052015,0.18563068920676204,0.1947334200260078,17,31,210900,0.18107932379713915,0.06436931079323797,3076.0,2005-2009
"Census Tract 2201, Cook County, Illinois",0.07130584192439862,0.12628865979381443,0.21649484536082475,17,31,220100,0.23883161512027493,0.23969072164948454,1164.0,2005-2009
"Census Tract 2202, Cook County, Illinois",0.16323666978484566,0.17867165575304023,0.13189897100093545,17,31,220200,0.20205799812909261,0.08419083255378859,2138.0,2005-2009
"Census Tract 2203, Cook County, Illinois",0.09478851963746224,0.18995468277945618,0.09516616314199396,17,31,220300,0.1574773413897281,0.14992447129909364,2648.0,2005-2009
"Census Tract 2204, Cook County, Illinois",0.1813206858810653,0.17074060561838744,0.1298796059832178,17,31,220400,0.279824881430135,0.1594308646479387,2741.0,2005-2009
"Census Tract 2604, Cook County, Illinois",0.20227457351746547,0.2802599512591389,0.15759545085296506,17,31,260400,0.06011372867587327,0.008123476848090982,1231.0,2005-2009
"Census Tract 2605, Cook County, Illinois",0.23217550274223034,0.3016453382084095,0.18159658744667886,17,31,260500,0.02315661182205972,0.0,1641.0,2005-2009
"Census Tract 2606, Cook County, Illinois",0.19862766341639582,0.20910075839653305,0.15420729505236547,17,31,260600,0.05128205128205128,0.031058143734200072,2769.0,2005-2009
"Census Tract 2607, Cook County, Illinois",0.17144136078782454,0.3213965980304387,0.14189794091316024,17,31,260700,0.008504923903312443,0.0040286481647269475,2234.0,2005-2009
"Census Tract 2608, Cook County, Illinois",0.19648397104446744,0.2826611513271286,0.19338159255429163,17,31,260800,0.029644950017235435,0.015511892450879007,2901.0,2005-2009
"Census Tract 2609, Cook County, Illinois",0.19324244220509781,0.22110254890337877,0.2009484291641968,17,31,260900,0.02074688796680498,0.01778304682868998,1687.0,2005-2009
"Census Tract 2610, Cook County, Illinois",0.1846293769895407,0.2582992269213279,0.20145520691223284,17,31,261000,0.018190086402910415,0.002273760800363802,2199.0,2005-2009
"Census Tract 2701, Cook County, Illinois",0.08403361344537816,0.24369747899159663,0.5126050420168067,17,31,270100,0.0,0.0,119.0,2005-2009
"Census Tract 2702, Cook County, Illinois",0.2336018411967779,0.12255466052934408,0.2928653624856157,17,31,270200,0.05868814729574223,0.014384349827387802,1738.0,2005-2009
"Census Tract 2703, Cook County, Illinois",0.09652351738241309,0.39591002044989776,0.1488752556237219,17,31,270300,0.023312883435582823,0.01063394683026585,2445.0,2005-2009
"Census Tract 2704, Cook County, Illinois",0.08662508662508663,0.24462924462924462,0.21552321552321552,17,31,270400,0.038115038115038115,0.00693000693000693,1443.0,2005-2009
"Census Tract 2705, Cook County, Illinois",0.21103117505995203,0.13093525179856116,0.21630695443645084,17,31,270500,0.11270983213429256,0.022062350119904078,2085.0,2005-2009
"Census Tract 2706, Cook County, Illinois",0.046137339055793994,0.26824034334763946,0.22746781115879827,17,31,270600,0.019313304721030045,0.07618025751072961,932.0,2005-2009
"Census Tract 2707, Cook County, Illinois",0.22199170124481327,0.2717842323651452,0.21784232365145229,17,31,270700,0.0,0.03941908713692946,482.0,2005-2009
"Census Tract 2708, Cook County, Illinois",0.12145110410094637,0.23186119873817035,0.27917981072555204,17,31,270800,0.04100946372239748,0.017350157728706624,634.0,2005-2009
"Census Tract 2709, Cook County, Illinois",0.0,0.21428571428571427,0.4025974025974026,17,31,270900,0.05844155844155844,0.06493506493506493,154.0,2005-2009
"Census Tract 2710, Cook County, Illinois",0.27225130890052357,0.12774869109947645,0.22094240837696336,17,31,271000,0.010471204188481676,0.0,955.0,2005-2009
"Census Tract 2711, Cook County, Illinois",0.2,0.22148148148148147,0.23555555555555555,17,31,271100,0.05925925925925926,0.03851851851851852,1350.0,2005-2009
"Census Tract 2712, Cook County, Illinois",0.2174185463659148,0.2593984962406015,0.20112781954887218,17,31,271200,0.0037593984962406013,0.006265664160401002,1596.0,2005-2009
"Census Tract 2713, Cook County, Illinois",0.2452253628724217,0.16730328495034377,0.1573720397249809,17,31,271300,0.05194805194805195,0.009167303284950344,1309.0,2005-2009
"Census Tract 2714, Cook County, Illinois",0.06196078431372549,0.2768627450980392,0.2164705882352941,17,31,271400,0.0988235294117647,0.03529411764705882,1275.0,2005-2009
"Census Tract 2715, Cook County, Illinois",0.05745212323064113,0.20233139050791007,0.21315570358034971,17,31,271500,0.0749375520399667,0.09408825978351373,1201.0,2005-2009
"Census Tract 2716, Cook County, Illinois",0.32709113607990015,0.383270911360799,0.18851435705368288,17,31,271600,0.024968789013732832,0.0,801.0,2005-2009
"Census Tract 2717, Cook County, Illinois",0.17387466902030008,0.2321270962047661,0.10326566637246248,17,31,271700,0.05030891438658429,0.01500441306266549,1133.0,2005-2009
"Census Tract 2718, Cook County, Illinois",0.08611599297012303,0.1616871704745167,0.12478031634446397,17,31,271800,0.0,0.019332161687170474,569.0,2005-2009
"Census Tract 2719, Cook County, Illinois",0.23054755043227665,0.3976945244956772,0.0936599423631124,17,31,271900,0.043227665706051875,0.011527377521613832,694.0,2005-2009
"Census Tract 2801, Cook County, Illinois",0.008455284552845528,0.03902439024390244,0.07967479674796749,17,31,280100,0.43934959349593494,0.37691056910569104,3075.0,2005-2009
"Census Tract 2802, Cook County, Illinois",0.19794721407624633,0.14002932551319647,0.21480938416422288,17,31,280200,0.28262463343108507,0.12390029325513197,2728.0,2005-2009
"Census Tract 2803, Cook County, Illinois",0.1562881562881563,0.08424908424908426,0.13064713064713065,17,31,280300,0.14041514041514042,0.30036630036630035,819.0,2005-2009
"Census Tract 2804, Cook County, Illinois",0.06295399515738499,0.14891041162227603,0.39709443099273606,17,31,280400,0.10290556900726393,0.03026634382566586,826.0,2005-2009
"Census Tract 2805, Cook County, Illinois",0.3200419727177335,0.23714585519412382,0.05771248688352571,17,31,280500,0.11332633788037776,0.07555089192025184,953.0,2005-2009
"Census Tract 2806, Cook County, Illinois",0.2572614107883817,0.5228215767634855,0.07053941908713693,17,31,280600,0.0,0.0,241.0,2005-2009
"Census Tract 2807, Cook County, Illinois",0.19217081850533807,0.12455516014234876,0.24199288256227758,17,31,280700,0.099644128113879,0.0711743772241993,281.0,2005-2009
"Census Tract 2808, Cook County, Illinois",0.27099841521394613,0.27258320126782887,0.17432646592709986,17,31,280800,0.020602218700475437,0.0,631.0,2005-2009
"Census Tract 2809, Cook County, Illinois",0.18772241992882563,0.20729537366548043,0.06761565836298933,17,31,280900,0.020462633451957295,0.020462633451957295,1124.0,2005-2009
"Census Tract 2810, Cook County, Illinois",0.0926517571884984,0.48881789137380194,0.0926517571884984,17,31,281000,0.08945686900958466,0.03514376996805112,313.0,2005-2009
"Census Tract 2811, Cook County, Illinois",0.0990990990990991,0.06306306306306306,0.37237237237237236,17,31,281100,0.0,0.08708708708708708,333.0,2005-2009
"Census Tract 2812, Cook County, Illinois",0.14919354838709678,0.20026881720430106,0.06989247311827956,17,31,281200,0.20967741935483872,0.024193548387096774,744.0,2005-2009
"Census Tract 2813, Cook County, Illinois",0.3006134969325153,0.08365867261572783,0.09871723368655884,17,31,281300,0.05298382598996096,0.06413831567205801,1793.0,2005-2009
"Census Tract 2814, Cook County, Illinois",0.03666666666666667,0.19333333333333333,0.22666666666666666,17,31,281400,0.06,0.03333333333333333,300.0,2005-2009
"Census Tract 2815, Cook County, Illinois",0.2206405693950178,0.33451957295373663,0.11387900355871886,17,31,281500,0.05338078291814947,0.0,281.0,2005-2009
"Census Tract 2816, Cook County, Illinois",0.21593090211132437,0.18809980806142035,0.14299424184261036,17,31,281600,0.1928982725527831,0.11900191938579655,1042.0,2005-2009
"Census Tract 2817, Cook County, Illinois",0.11604714415231188,0.09942580840132971,0.1438501057721366,17,31,281700,0.27802961619824723,0.2656391659111514,3309.0,2005-2009
"Census Tract 2818, Cook County, Illinois",0.04155124653739612,0.06752077562326869,0.15893351800554018,17,31,281800,0.3718836565096953,0.2738919667590028,2888.0,2005-2009
"Census Tract 2819, Cook County, Illinois",0.014975471210947586,0.056545313710302095,0.12858249419054996,17,31,281900,0.3718048024786987,0.3867802736896463,3873.0,2005-2009
"Census Tract 2820, Cook County, Illinois",0.0541740674955595,0.11367673179396093,0.09325044404973357,17,31,282000,0.37211367673179396,0.24422735346358793,1126.0,2005-2009
"Census Tract 2821, Cook County, Illinois",0.020331728196896735,0.12466559657570893,0.57035848047084,17,31,282100,0.13911182450508294,0.11771000535045478,1869.0,2005-2009
"Census Tract 2822, Cook County, Illinois",0.07938388625592417,0.1552132701421801,0.18424170616113744,17,31,282200,0.17002369668246445,0.29206161137440756,1688.0,2005-2009
"Census Tract 2823, Cook County, Illinois",0.0,0.05263157894736842,0.39883040935672515,17,31,282300,0.23391812865497075,0.20116959064327486,855.0,2005-2009
"Census Tract 2824, Cook County, Illinois",0.00883912787271656,0.041838538597525045,0.136122569239835,17,31,282400,0.2887448438420743,0.3783146729522687,1697.0,2005-2009
"Census Tract 2825, Cook County, Illinois",0.13848920863309352,0.12589928057553956,0.10431654676258993,17,31,282500,0.2158273381294964,0.35431654676258995,556.0,2005-2009
"Census Tract 2826, Cook County, Illinois",0.1388235294117647,0.023529411764705882,0.1811764705882353,17,31,282600,0.25882352941176473,0.08941176470588236,425.0,2005-2009
"Census Tract 2827, Cook County, Illinois",0.17845528455284554,0.2280487804878049,0.11097560975609756,17,31,282700,0.13495934959349593,0.0508130081300813,2460.0,2005-2009
"Census Tract 2205, Cook County, Illinois",0.08784866944533504,0.10644437319653735,0.22250721385059313,17,31,220500,0.24783584482205837,0.16672010259698622,3119.0,2005-2009
"Census Tract 2206, Cook County, Illinois",0.12360142161379492,0.16203764643938398,0.15874687376596025,17,31,220600,0.24588653415822034,0.10530472554955904,7597.0,2005-2009
"Census Tract 2207, Cook County, Illinois",0.21825764596848934,0.23366543095458758,0.1897590361445783,17,31,220700,0.08086190917516219,0.05329008341056534,8632.0,2005-2009
"Census Tract 2208, Cook County, Illinois",0.0,0.5,0.5,17,31,220800,0.0,0.0,20.0,2005-2009
"Census Tract 2209, Cook County, Illinois",0.21674944812362032,0.2530353200883002,0.14031456953642385,17,31,220900,0.059602649006622516,0.014486754966887417,7248.0,2005-2009
"Census Tract 2210, Cook County, Illinois",0.15847395451210564,0.19625825385179752,0.16507703595011006,17,31,221000,0.1471019809244314,0.06786500366837858,2726.0,2005-2009
"Census Tract 2211, Cook County, Illinois",0.2568776930725887,0.18445475638051045,0.1556181637388134,17,31,221100,0.1388796818031157,0.04988399071925754,6034.0,2005-2009
"Census Tract 2212, Cook County, Illinois",0.17435275080906149,0.11812297734627832,0.17880258899676377,17,31,221200,0.23988673139158576,0.08940129449838188,2472.0,2005-2009
"Census Tract 2213, Cook County, Illinois",0.2042833607907743,0.19901153212520592,0.1970345963756178,17,31,221300,0.16902800658978584,0.06029654036243822,3035.0,2005-2009
"Census Tract 2214, Cook County, Illinois",0.18790426908150065,0.29333764553686936,0.1296895213454075,17,31,221400,0.10672703751617077,0.03040103492884864,3092.0,2005-2009
"Census Tract 2215, Cook County, Illinois",0.2129418472063854,0.13369441277080957,0.24458380843785632,17,31,221500,0.1998289623717218,0.043614595210946405,3508.0,2005-2009
"Census Tract 2216, Cook County, Illinois",0.07006603081438005,0.10014673514306677,0.11738811445341159,17,31,221600,0.3932501834189288,0.19992663242846662,2726.0,2005-2009
"Census Tract 2217, Cook County, Illinois",0.03657049979683056,0.12027631044290939,0.18082080455099553,17,31,221700,0.3681430312880943,0.17147501015847216,2461.0,2005-2009
"Census Tract 2218, Cook County, Illinois",0.05079527963057978,0.18214468958440225,0.11749615187275526,17,31,221800,0.2668034889687019,0.2344792201128784,1949.0,2005-2009
"Census Tract 2219, Cook County, Illinois",0.028963414634146343,0.042682926829268296,0.053353658536585365,17,31,221900,0.46189024390243905,0.13567073170731708,656.0,2005-2009
"Census Tract 2220, Cook County, Illinois",0.02253349573690621,0.07551766138855055,0.11632155907429964,17,31,222000,0.4238733252131547,0.24725943970767356,1642.0,2005-2009
"Census Tract 2221, Cook County, Illinois",0.06060606060606061,0.11655011655011654,0.09557109557109557,17,31,222100,0.3275058275058275,0.2331002331002331,858.0,2005-2009
"Census Tract 2222, Cook County, Illinois",0.060240963855421686,0.07518072289156627,0.07228915662650602,17,31,222200,0.4231325301204819,0.2091566265060241,2075.0,2005-2009
"Census Tract 2223, Cook County, Illinois",0.054945054945054944,0.23832417582417584,0.11332417582417582,17,31,222300,0.16758241758241757,0.09340659340659341,1456.0,2005-2009
"Census Tract 2224, Cook County, Illinois",0.15422222222222223,0.1471111111111111,0.09022222222222222,17,31,222400,0.25155555555555553,0.12,2250.0,2005-2009
"Census Tract 2225, Cook County, Illinois",0.22014202711426728,0.17301484828921884,0.23563589412524208,17,31,222500,0.05358295674628793,0.03873466752743705,1549.0,2005-2009
"Census Tract 2226, Cook County, Illinois",0.14234234234234233,0.17177177177177178,0.2978978978978979,17,31,222600,0.14414414414414414,0.06786786786786787,1665.0,2005-2009
"Census Tract 2227, Cook County, Illinois",0.21501925545571246,0.25096277278562257,0.13029525032092426,17,31,222700,0.050706033376123234,0.018613607188703467,3116.0,2005-2009
"Census Tract 2228, Cook County, Illinois",0.37072649572649574,0.11324786324786325,0.1623931623931624,17,31,222800,0.03205128205128205,0.0,936.0,2005-2009
"Census Tract 2229, Cook County, Illinois",0.28457283343577133,0.18377381684081132,0.09526736324523663,17,31,222900,0.02642901044867855,0.02089735709895513,1627.0,2005-2009
"Census Tract 2301, Cook County, Illinois",0.2305712815234174,0.2233659289758106,0.21358723623262996,17,31,230100,0.049922799794132784,0.017498713329902212,1943.0,2005-2009
"Census Tract 2302, Cook County, Illinois",0.22291021671826625,0.1913312693498452,0.1634674922600619,17,31,230200,0.10588235294117647,0.023529411764705882,1615.0,2005-2009
"Census Tract 2303, Cook County, Illinois",0.36099919419822724,0.1587429492344883,0.088638195004029,17,31,230300,0.0,0.0,1241.0,2005-2009
"Census Tract 2304, Cook County, Illinois",0.2940038684719536,0.24100580270793037,0.16866537717601549,17,31,230400,0.03249516441005803,0.003481624758220503,2585.0,2005-2009
"Census Tract 2305, Cook County, Illinois",0.1934415369327592,0.2971182510765154,0.11427625041404439,17,31,230500,0.008943358728055647,0.0,3019.0,2005-2009
"Census Tract 2306, Cook County, Illinois",0.30584243139569195,0.23059899675420478,0.12658601357332547,17,31,230600,0.02685157863676601,0.011360283269401004,6778.0,2005-2009
"Census Tract 2307, Cook County, Illinois",0.28330470092144305,0.24129314383882555,0.12447290332656567,17,31,230700,0.023426518819303452,0.010307668280493518,6403.0,2005-2009
"Census Tract 2308, Cook County, Illinois",0.3632210165619646,0.2067390062821245,0.03769274700171331,17,31,230800,0.1307824100513992,0.017133066818960593,1751.0,2005-2009
"Census Tract 2309, Cook County, Illinois",0.21300675675675676,0.17956081081081082,0.20253378378378378,17,31,230900,0.05929054054054054,0.037162162162162164,5920.0,2005-2009
"Census Tract 2310, Cook County, Illinois",0.24743230625583568,0.19545596016184252,0.17989417989417988,17,31,231000,0.012449424214130096,0.011204481792717087,3213.0,2005-2009
"Census Tract 2311, Cook County, Illinois",0.2032520325203252,0.3276422764227642,0.2,17,31,231100,0.02113821138211382,0.0,1230.0,2005-2009
"Census Tract 2312, Cook County, Illinois",0.24618768328445748,0.20967741935483872,0.20483870967741935,17,31,231200,0.028005865102639298,0.020527859237536656,6820.0,2005-2009
"Census Tract 2313, Cook County, Illinois",0.21739837398373985,0.23577235772357724,0.18747967479674796,17,31,231300,0.03349593495934959,0.0045528455284552845,6150.0,2005-2009
"Census Tract 2314, Cook County, Illinois",,,,17,31,231400,,,0.0,2005-2009
"Census Tract 2315, Cook County, Illinois",0.21443812233285917,0.23897581792318634,0.15878378378378377,17,31,231500,0.03573968705547653,0.0040896159317211946,5624.0,2005-2009
"Census Tract 2316, Cook County, Illinois",0.2779552715654952,0.1412140575079872,0.12715654952076677,17,31,231600,0.03769968051118211,0.0,1565.0,2005-2009
"Census Tract 2317, Cook County, Illinois",0.2801857585139319,0.20046439628482973,0.06888544891640867,17,31,231700,0.04721362229102167,0.04024767801857585,1292.0,2005-2009
"Census Tract 2318, Cook County, Illinois",0.21986970684039087,0.1758957654723127,0.17100977198697068,17,31,231800,0.0732899022801303,0.1791530944625407,614.0,2005-2009
"Census Tract 2401, Cook County, Illinois",0.0,0.3120567375886525,0.24822695035460993,17,31,240100,0.19858156028368795,0.07801418439716312,141.0,2005-2009
"Census Tract 2402, Cook County, Illinois",0.1613485851896448,0.0716435881998796,0.10596026490066225,17,31,240200,0.3136664659843468,0.20048163756773027,1661.0,2005-2009
"Census Tract 2403, Cook County, Illinois",0.031122031122031123,0.003276003276003276,0.19737919737919737,17,31,240300,0.31285831285831284,0.29074529074529076,1221.0,2005-2009
"Census Tract 2404, Cook County, Illinois",0.012528473804100227,0.0193621867881549,0.06719817767653759,17,31,240400,0.5968109339407744,0.2437357630979499,878.0,2005-2009
"Census Tract 2405, Cook County, Illinois",0.02682701202590194,0.05735430157261795,0.07724329324699353,17,31,240500,0.47779833487511564,0.2826086956521739,2162.0,2005-2009
"Census Tract 2406, Cook County, Illinois",0.07010014306151645,0.11444921316165951,0.13376251788268956,17,31,240600,0.19814020028612303,0.17167381974248927,1398.0,2005-2009
"Census Tract 2407, Cook County, Illinois",0.17674150834772595,0.21531375935521013,0.1652274035693725,17,31,240700,0.09441565918249856,0.08175014392630973,1737.0,2005-2009
"Census Tract 2408, Cook County, Illinois",0.11563932755985736,0.22975038206826287,0.15486500254712177,17,31,240800,0.1553744268976057,0.047885888945491596,1963.0,2005-2009
"Census Tract 2409, Cook County, Illinois",0.34459459459459457,0.1816816816816817,0.1403903903903904,17,31,240900,0.04804804804804805,0.08333333333333333,1332.0,2005-2009
"Census Tract 2410, Cook County, Illinois",0.24357499041043346,0.17107786728039892,0.14499424626006904,17,31,241000,0.08592251630226314,0.02531645569620253,2607.0,2005-2009
"Census Tract 2411, Cook County, Illinois",0.14820772058823528,0.13947610294117646,0.24103860294117646,17,31,241100,0.15946691176470587,0.07375919117647059,4352.0,2005-2009
"Census Tract 2412, Cook County, Illinois",0.10665944775311316,0.14510016242555496,0.08391987005955603,17,31,241200,0.3134813210611803,0.2409312398484028,1847.0,2005-2009
"Census Tract 2413, Cook County, Illinois",0.07429829389102917,0.13813979086406164,0.09190974133186572,17,31,241300,0.3852504127682994,0.1574023115024766,1817.0,2005-2009
"Census Tract 2414, Cook County, Illinois",0.09921778509674763,0.12289007822149033,0.12988884314532728,17,31,241400,0.3027995059695348,0.19720049403046522,4858.0,2005-2009
"Census Tract 2415, Cook County, Illinois",0.09689557855126998,0.061774851050486045,0.11884603323925996,17,31,241500,0.38068359987456885,0.17968015051740358,3189.0,2005-2009
"Census Tract 2416, Cook County, Illinois",0.07918105574740997,0.11149481993093241,0.14405525407005426,17,31,241600,0.33769116921558956,0.1785890478539714,4054.0,2005-2009
"Census Tract 2417, Cook County, Illinois",0.14084507042253522,0.22535211267605634,0.29577464788732394,17,31,241700,0.20422535211267606,0.07042253521126761,142.0,2005-2009
"Census Tract 2418, Cook County, Illinois",0.054838709677419356,0.1,0.03763440860215054,17,31,241800,0.4720430107526882,0.2075268817204301,930.0,2005-2009
"Census Tract 2419, Cook County, Illinois",0.1846298031865042,0.14620431115276475,0.2830365510777882,17,31,241900,0.17150890346766634,0.11246485473289597,1067.0,2005-2009
"Census Tract 2420, Cook County, Illinois",0.1710466696873584,0.1773901223380154,0.13593112822836428,17,31,242000,0.27616674218396015,0.11101042138649751,4414.0,2005-2009
"Census Tract 2421, Cook County, Illinois",0.0982692871809915,0.07685538281020828,0.08125550014667057,17,31,242100,0.381636843649164,0.17483132883543562,3409.0,2005-2009
