NAME,B08119_002E,B08119_003E,B08119_004E,B08119_005E,B08119_006E,B08119_007E,B08119_008E,B08119_009E,state,county,tract
"Census Tract 2827, Cook County, Illinois",155.0,88.0,134.0,196.0,181.0,185.0,61.0,133.0,17,031,282700
"Census Tract 2205, Cook County, Illinois",179.0,92.0,215.0,363.0,279.0,238.0,187.0,444.0,17,031,220500
"Census Tract 2206, Cook County, Illinois",226.0,417.0,772.0,1020.0,613.0,470.0,186.0,494.0,17,031,220600
"Census Tract 2207, Cook County, Illinois",689.0,1427.0,649.0,849.0,653.0,205.0,113.0,308.0,17,031,220700
"Census Tract 2208, Cook County, Illinois",0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,17,031,220800
"Census Tract 2209, Cook County, Illinois",521.0,212.0,858.0,482.0,384.0,270.0,213.0,105.0,17,031,220900
"Census Tract 2210, Cook County, Illinois",163.0,70.0,245.0,296.0,166.0,61.0,19.0,139.0,17,031,221000
"Census Tract 2211, Cook County, Illinois",440.0,207.0,472.0,590.0,416.0,217.0,91.0,189.0,17,031,221100
"Census Tract 2212, Cook County, Illinois",175.0,137.0,176.0,135.0,163.0,168.0,92.0,305.0,17,031,221200
"Census Tract 2213, Cook County, Illinois",244.0,147.0,472.0,215.0,294.0,196.0,88.0,149.0,17,031,221300
"Census Tract 2214, Cook County, Illinois",142.0,286.0,461.0,258.0,282.0,91.0,42.0,138.0,17,031,221400
"Census Tract 2215, Cook County, Illinois",231.0,230.0,231.0,238.0,362.0,210.0,47.0,266.0,17,031,221500
"Census Tract 2216, Cook County, Illinois",161.0,129.0,219.0,196.0,488.0,327.0,86.0,397.0,17,031,221600
"Census Tract 2217, Cook County, Illinois",121.0,78.0,106.0,247.0,287.0,303.0,80.0,426.0,17,031,221700
"Census Tract 2218, Cook County, Illinois",126.0,120.0,154.0,208.0,247.0,74.0,55.0,347.0,17,031,221800
"Census Tract 2219, Cook County, Illinois",49.0,0.0,40.0,19.0,25.0,82.0,50.0,118.0,17,031,221900
"Census Tract 2220, Cook County, Illinois",18.0,0.0,68.0,132.0,274.0,172.0,189.0,315.0,17,031,222000
"Census Tract 2221, Cook County, Illinois",0.0,0.0,31.0,117.0,120.0,108.0,19.0,189.0,17,031,222100
"Census Tract 2222, Cook County, Illinois",80.0,29.0,28.0,176.0,215.0,170.0,130.0,597.0,17,031,222200
"Census Tract 2223, Cook County, Illinois",75.0,83.0,157.0,58.0,131.0,46.0,8.0,80.0,17,031,222300
"Census Tract 2224, Cook County, Illinois",146.0,116.0,208.0,135.0,215.0,149.0,51.0,330.0,17,031,222400
"Census Tract 2225, Cook County, Illinois",177.0,140.0,189.0,144.0,85.0,41.0,8.0,83.0,17,031,222500
"Census Tract 2226, Cook County, Illinois",95.0,109.0,262.0,139.0,142.0,87.0,0.0,51.0,17,031,222600
"Census Tract 2227, Cook County, Illinois",125.0,197.0,236.0,145.0,170.0,17.0,48.0,82.0,17,031,222700
"Census Tract 2228, Cook County, Illinois",25.0,78.0,110.0,72.0,6.0,0.0,8.0,0.0,17,031,222800
"Census Tract 2229, Cook County, Illinois",89.0,130.0,141.0,135.0,50.0,52.0,24.0,34.0,17,031,222900
"Census Tract 2301, Cook County, Illinois",63.0,9.0,104.0,179.0,238.0,77.0,44.0,16.0,17,031,230100
"Census Tract 2302, Cook County, Illinois",60.0,34.0,68.0,157.0,58.0,54.0,24.0,97.0,17,031,230200
"Census Tract 2303, Cook County, Illinois",16.0,70.0,118.0,103.0,16.0,0.0,0.0,9.0,17,031,230300
"Census Tract 2304, Cook County, Illinois",101.0,89.0,195.0,245.0,168.0,82.0,54.0,44.0,17,031,230400
"Census Tract 2305, Cook County, Illinois",196.0,99.0,336.0,216.0,91.0,62.0,0.0,38.0,17,031,230500
"Census Tract 2306, Cook County, Illinois",241.0,256.0,839.0,612.0,372.0,104.0,126.0,119.0,17,031,230600
"Census Tract 2307, Cook County, Illinois",295.0,377.0,603.0,450.0,370.0,155.0,19.0,72.0,17,031,230700
"Census Tract 2308, Cook County, Illinois",83.0,31.0,258.0,76.0,161.0,48.0,12.0,12.0,17,031,230800
"Census Tract 2309, Cook County, Illinois",268.0,271.0,559.0,458.0,478.0,125.0,31.0,100.0,17,031,230900
"Census Tract 2310, Cook County, Illinois",191.0,67.0,186.0,255.0,104.0,62.0,9.0,11.0,17,031,231000
