Community Area,NAME,female,state,county,population,period
CHATHAM,"Census Tract 4408, Cook County, Illinois",17817.0,17,31,31493.0,2010-2014
CHICAGO LAWN,"Census Tract 6606, Cook County, Illinois",30188.0,17,31,56293.0,2010-2014
CLEARING,"Census Tract 6405, Cook County, Illinois",12913.0,17,31,24452.0,2010-2014
DOUGLAS,"Census Tract 3510, Cook County, Illinois",11136.0,17,31,19430.0,2010-2014
DUNNING,"Census Tract 1701, Cook County, Illinois",21656.0,17,31,43053.0,2010-2014
EAST GARFIELD PARK,"Census Tract 8368, Cook County, Illinois",10950.0,17,31,20271.0,2010-2014
EAST SIDE,"Census Tract 5203, Cook County, Illinois",12374.0,17,31,23739.0,2010-2014
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",26327.0,17,31,53038.0,2010-2014
EDISON PARK,"Census Tract 901, Cook County, Illinois",5748.0,17,31,10993.0,2010-2014
ENGLEWOOD,"Census Tract 6812, Cook County, Illinois",15003.0,17,31,27297.0,2010-2014
FOREST GLEN,"Census Tract 1204, Cook County, Illinois",9746.0,17,31,18478.0,2010-2014
FULLER PARK,"Census Tract 8355, Cook County, Illinois",1325.0,17,31,2543.0,2010-2014
GAGE PARK,"Census Tract 6308, Cook County, Illinois",19438.0,17,31,40381.0,2010-2014
GARFIELD RIDGE,"Census Tract 9801, Cook County, Illinois",17521.0,17,31,34743.0,2010-2014
GRAND BOULEVARD,"Census Tract 8436, Cook County, Illinois",12850.0,17,31,22531.0,2010-2014
GREATER GRAND CROSSING,"Census Tract 6913, Cook County, Illinois",18712.0,17,31,32849.0,2010-2014
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",4611.0,17,31,9338.0,2010-2014
HERMOSA,"Census Tract 2004.01, Cook County, Illinois",12254.0,17,31,24836.0,2010-2014
HUMBOLDT PARK,"Census Tract 2308, Cook County, Illinois",28473.0,17,31,54515.0,2010-2014
HYDE PARK,"Census Tract 8362, Cook County, Illinois",9492.0,17,31,18513.0,2010-2014
IRVING PARK,"Census Tract 1605.02, Cook County, Illinois",28606.0,17,31,56490.0,2010-2014
JEFFERSON PARK,"Census Tract 1103, Cook County, Illinois",13619.0,17,31,26975.0,2010-2014
KENWOOD,"Census Tract 3904, Cook County, Illinois",6553.0,17,31,12075.0,2010-2014
LAKE VIEW,"Census Tract 628, Cook County, Illinois",43741.0,17,31,87343.0,2010-2014
LINCOLN PARK,"Census Tract 705, Cook County, Illinois",33400.0,17,31,65951.0,2010-2014
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",19787.0,17,31,39547.0,2010-2014
LOGAN SQUARE,"Census Tract 2226, Cook County, Illinois",36495.0,17,31,74055.0,2010-2014
LOOP,"Census Tract 3204, Cook County, Illinois",15432.0,17,31,30642.0,2010-2014
LOWER WEST SIDE,"Census Tract 3105, Cook County, Illinois",16819.0,17,31,34979.0,2010-2014
MCKINLEY PARK,"Census Tract 5907, Cook County, Illinois",8041.0,17,31,16449.0,2010-2014
MONTCLARE,"Census Tract 1801, Cook County, Illinois",6549.0,17,31,12840.0,2010-2014
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",12720.0,17,31,23204.0,2010-2014
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",9279.0,17,31,18357.0,2010-2014
NEAR NORTH SIDE,"Census Tract 811, Cook County, Illinois",40584.0,17,31,74080.0,2010-2014
NEAR SOUTH SIDE,"Census Tract 8410, Cook County, Illinois",11266.0,17,31,22021.0,2010-2014
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",29623.0,17,31,58899.0,2010-2014
NEW CITY,"Census Tract 8438, Cook County, Illinois",21010.0,17,31,41598.0,2010-2014
NORTH CENTER,"Census Tract 503, Cook County, Illinois",17555.0,17,31,34815.0,2010-2014
NORTH LAWNDALE,"Census Tract 2916, Cook County, Illinois",19750.0,17,31,35623.0,2010-2014
NORTH PARK,"Census Tract 1302, Cook County, Illinois",9057.0,17,31,18058.0,2010-2014
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",18512.0,17,31,36486.0,2010-2014
OAKLAND,"Census Tract 3602, Cook County, Illinois",2078.0,17,31,3264.0,2010-2014
OHARE,"Census Tract 9800, Cook County, Illinois",6723.0,17,31,14143.0,2010-2014
PORTAGE PARK,"Census Tract 1504.01, Cook County, Illinois",32824.0,17,31,64427.0,2010-2014
PULLMAN,"Census Tract 5002, Cook County, Illinois",4087.0,17,31,6970.0,2010-2014
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",4193.0,17,31,7190.0,2010-2014
