community_area,NAME,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75+,state,county,population,period
EDISON PARK,"Census Tract 901, Cook County, Illinois",0.19412353315746383,0.05021377240061858,0.1414536523242063,0.15364322750841444,0.15482579823524062,0.13645046847994177,0.07368325297916856,0.09315018648230693,17,31,10993.0,2010-2014
ENGLEWOOD,"Census Tract 6812, Cook County, Illinois",0.2719712788951167,0.12624097886214602,0.13693812506868885,0.1019159614609664,0.12136864856943987,0.1189141663919112,0.054071876030333005,0.05440158259149357,17,31,27297.0,2010-2014
FOREST GLEN,"Census Tract 1204, Cook County, Illinois",0.23730923260093084,0.061099686113215715,0.08339647147959736,0.14703972291373527,0.15921636540751163,0.12939712090053035,0.08539885268968503,0.08458707652343327,17,31,18478.0,2010-2014
FULLER PARK,"Census Tract 8355, Cook County, Illinois",0.21667322060558394,0.08847817538340542,0.11285882815572158,0.10696028313016123,0.10420762878489973,0.1423515532835234,0.13605977192292568,0.07707432166732206,17,31,2543.0,2010-2014
GAGE PARK,"Census Tract 6308, Cook County, Illinois",0.3083380797900003,0.11911542557143211,0.1620564126693247,0.15816844555607834,0.11332062108417325,0.062356058542383797,0.0390034917411654,0.022659171392486566,17,31,40381.0,2010-2014
GARFIELD RIDGE,"Census Tract 9801, Cook County, Illinois",0.21797196557579945,0.0870391157931094,0.12736378551075037,0.14607259016204704,0.15289410816567367,0.11740494488098321,0.0718705926373658,0.07276285870535072,17,31,34743.0,2010-2014
GRAND BOULEVARD,"Census Tract 8436, Cook County, Illinois",0.24086813723314546,0.09555723225777817,0.13958546003284364,0.15622919533087745,0.12498335626470197,0.1031467755536816,0.07363188495850162,0.05570103413075318,17,31,22531.0,2010-2014
GREATER GRAND CROSSING,"Census Tract 6913, Cook County, Illinois",0.26003835733203445,0.10685256781028342,0.10965326189533928,0.1179944594964839,0.14180035921945874,0.12271302018326281,0.05969740326950592,0.06502481049651436,17,31,32849.0,2010-2014
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",0.22595844934675519,0.0626472478046691,0.13600342685799957,0.12251017348468622,0.14114371385735702,0.1291497108588563,0.08235168130220603,0.08663525380167059,17,31,9338.0,2010-2014
HERMOSA,"Census Tract 2004.01, Cook County, Illinois",0.2684007086487357,0.11817522950555645,0.16133837977129972,0.14374295377677565,0.11644387179900145,0.09973425672411017,0.04694797874053793,0.03136575938154292,17,31,24836.0,2010-2014
HUMBOLDT PARK,"Census Tract 2308, Cook County, Illinois",0.29481794001650924,0.11516096487205356,0.16492708428872788,0.13011097862973495,0.11068513253233055,0.09615702100339356,0.04543703567825369,0.026763276162524077,17,31,54515.0,2010-2014
HYDE PARK,"Census Tract 8362, Cook County, Illinois",0.1414141414141414,0.25203910765408094,0.20871819802301086,0.10554745314103603,0.09668881326635337,0.08653378706854643,0.049694809053097824,0.049208664181926216,17,31,18513.0,2010-2014
IRVING PARK,"Census Tract 1605.02, Cook County, Illinois",0.20546999468932556,0.08667020711630377,0.2003540449637104,0.16622411046202867,0.13616569304301646,0.09916799433528058,0.052115418658169585,0.035245176137369445,17,31,56490.0,2010-2014
JEFFERSON PARK,"Census Tract 1103, Cook County, Illinois",0.19848007414272476,0.0713994439295644,0.14250231696014828,0.14198331788693233,0.1464318813716404,0.13686746987951806,0.07799814643188137,0.07110287303058388,17,31,26975.0,2010-2014
KENWOOD,"Census Tract 3904, Cook County, Illinois",0.2312215320910973,0.07163561076604555,0.14376811594202898,0.15055900621118012,0.12231884057971014,0.13010351966873707,0.08314699792960663,0.05200828157349897,17,31,12075.0,2010-2014
LAKE VIEW,"Census Tract 628, Cook County, Illinois",0.09650458537032161,0.14051498116620678,0.39155971285621055,0.148048498448645,0.09292101255967851,0.0556999416095165,0.03305359330455789,0.027546569272866743,17,31,87343.0,2010-2014
LINCOLN PARK,"Census Tract 705, Cook County, Illinois",0.1264878470379524,0.16175645555033283,0.31041227578050373,0.13478188351958273,0.08908128762262892,0.07693590696122879,0.051128868402298674,0.034328516625979896,17,31,65951.0,2010-2014
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",0.15138948592813614,0.05208991832503097,0.2783523402533694,0.17093584848408222,0.1357877967987458,0.10314309555718512,0.054997850658709886,0.03755025665663641,17,31,39547.0,2010-2014
LOGAN SQUARE,"Census Tract 2226, Cook County, Illinois",0.18193234757950172,0.10701505637701708,0.27992708122341503,0.17445142124096955,0.10295050975626224,0.07036661940449666,0.038619944635743704,0.027168996016474243,17,31,74055.0,2010-2014
LOOP,"Census Tract 3204, Cook County, Illinois",0.050682070360942494,0.17782781802754388,0.319365576659487,0.1342928007310228,0.09330330918347367,0.12838587559558776,0.05374975523790875,0.029665165459173682,17,31,30642.0,2010-2014
