community_area,NAME,0-15k,15-25k,25-50k,50-75k,75k+,state,county,population,period
NEW CITY,"Census Tract 8438, Cook County, Illinois",18139.0,5678.0,4902.0,1275.0,837.0,17,31,41598.0,2010-2014
NORTH CENTER,"Census Tract 503, Cook County, Illinois",6117.0,2540.0,6705.0,5149.0,8023.0,17,31,34815.0,2010-2014
NORTH LAWNDALE,"Census Tract 2916, Cook County, Illinois",16764.0,3733.0,3304.0,1574.0,508.0,17,31,35623.0,2010-2014
NORTH PARK,"Census Tract 1302, Cook County, Illinois",6205.0,2258.0,2978.0,1521.0,1790.0,17,31,18058.0,2010-2014
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",9447.0,4149.0,6816.0,3869.0,5929.0,17,31,36486.0,2010-2014
OAKLAND,"Census Tract 3602, Cook County, Illinois",1605.0,169.0,531.0,58.0,28.0,17,31,3264.0,2010-2014
OHARE,"Census Tract 9800, Cook County, Illinois",4226.0,1921.0,3089.0,1310.0,893.0,17,31,14143.0,2010-2014
PORTAGE PARK,"Census Tract 1504.01, Cook County, Illinois",21065.0,8105.0,13246.0,5828.0,4622.0,17,31,64427.0,2010-2014
PULLMAN,"Census Tract 5002, Cook County, Illinois",2684.0,728.0,1361.0,788.0,172.0,17,31,6970.0,2010-2014
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",3284.0,515.0,423.0,176.0,55.0,17,31,7190.0,2010-2014
ROGERS PARK,"Census Tract 102.01, Cook County, Illinois",17571.0,7732.0,8722.0,4264.0,3597.0,17,31,50323.0,2010-2014
ROSELAND,"Census Tract 4905, Cook County, Illinois",19115.0,5011.0,6858.0,3029.0,1547.0,17,31,44267.0,2010-2014
SOUTH CHICAGO,"Census Tract 4602, Cook County, Illinois",12173.0,3455.0,4101.0,1447.0,805.0,17,31,28550.0,2010-2014
SOUTH DEERING,"Census Tract 5103, Cook County, Illinois",6656.0,1965.0,2394.0,736.0,400.0,17,31,15570.0,2010-2014
SOUTH LAWNDALE,"Census Tract 3007, Cook County, Illinois",35359.0,10209.0,7936.0,1770.0,478.0,17,31,72881.0,2010-2014
SOUTH SHORE,"Census Tract 4304, Cook County, Illinois",17293.0,4020.0,5623.0,2706.0,1721.0,17,31,39552.0,2010-2014
UPTOWN,"Census Tract 317, Cook County, Illinois",17597.0,6375.0,10136.0,6570.0,8071.0,17,31,54062.0,2010-2014
WASHINGTON HEIGHTS,"Census Tract 7303, Cook County, Illinois",11209.0,3730.0,4381.0,2233.0,1085.0,17,31,26435.0,2010-2014
WASHINGTON PARK,"Census Tract 8361, Cook County, Illinois",4780.0,986.0,1293.0,613.0,308.0,17,31,11647.0,2010-2014
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",7470.0,2143.0,3521.0,1110.0,437.0,17,31,19165.0,2010-2014
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",16909.0,4044.0,4036.0,1152.0,521.0,17,31,34272.0,2010-2014
WEST GARFIELD PARK,"Census Tract 2606, Cook County, Illinois",8781.0,1754.0,2138.0,607.0,260.0,17,31,18885.0,2010-2014
WEST LAWN,"Census Tract 6503.01, Cook County, Illinois",11787.0,4106.0,6351.0,1725.0,1256.0,17,31,33477.0,2010-2014
WEST PULLMAN,"Census Tract 5305.01, Cook County, Illinois",11643.0,3572.0,3718.0,2048.0,854.0,17,31,28160.0,2010-2014
WEST RIDGE,"Census Tract 202, Cook County, Illinois",24962.0,8905.0,12881.0,5011.0,5010.0,17,31,73019.0,2010-2014
WEST TOWN,"Census Tract 2407, Cook County, Illinois",20728.0,8378.0,16147.0,12149.0,15013.0,17,31,84319.0,2010-2014
WOODLAWN,"Census Tract 8439, Cook County, Illinois",10917.0,2613.0,3396.0,1979.0,963.0,17,31,25451.0,2010-2014
