Community Area,NAME,0-25k,25-60k,60-100k,100-150k,150-200k,200k+,state,county,population,period
ARCHER HEIGHTS,"Census Tract 5704, Cook County, Illinois",0.0622946135162166,0.12573224746392342,0.05322188884126304,0.03000428632661809,0.007929704243463351,0.001143020431490213,17,31,13998.0,2010-2014
ARMOUR SQUARE,"Census Tract 3404, Cook County, Illinois",0.19234657039711192,0.09357400722021661,0.048303249097472925,0.028447653429602888,0.005270758122743682,0.0038989169675090253,17,31,13850.0,2010-2014
ASHBURN,"Census Tract 7004.01, Cook County, Illinois",0.0463453946600014,0.0881590319792567,0.08645378308299656,0.05405405405405406,0.017472961293186012,0.004695274358195707,17,31,42809.0,2010-2014
AUBURN GRESHAM,"Census Tract 7107, Cook County, Illinois",0.15548927768792925,0.12169456638171851,0.05637352712608431,0.0183571023502972,0.006028018735166243,0.002436411753586356,17,31,47611.0,2010-2014
AUSTIN,"Census Tract 2508, Cook County, Illinois",0.13261325229914453,0.11143203859152952,0.04977384641614265,0.02055941671430434,0.005485854118402182,0.003841100781257835,17,31,99711.0,2010-2014
AVALON PARK,"Census Tract 8343, Cook County, Illinois",0.11348781937017231,0.12418300653594772,0.0748663101604278,0.05268369974252327,0.0106951871657754,0.004753416518122401,17,31,10098.0,2010-2014
AVONDALE,"Census Tract 2101, Cook County, Illinois",0.08704655264974308,0.1395045632333768,0.06981619244829614,0.030523813175857045,0.011887414679039804,0.007873814454073676,17,31,39117.0,2010-2014
BELMONT CRAGIN,"Census Tract 1908, Cook County, Illinois",0.07006538592874578,0.11204138157811531,0.054117289961931984,0.02702702702702703,0.00739860122171774,0.0013406012470121033,17,31,79069.0,2010-2014
BEVERLY,"Census Tract 7203, Cook County, Illinois",0.03352061708408723,0.075754690029521,0.08589658127797353,0.07032663555851823,0.049138177316446055,0.04371012284544329,17,31,21002.0,2010-2014
BRIDGEPORT,"Census Tract 8397, Cook County, Illinois",0.1134349854409969,0.13225210557625475,0.08040326873101851,0.03309433607814897,0.012085538056921006,0.009111118068818685,17,31,31939.0,2010-2014
BRIGHTON PARK,"Census Tract 5802, Cook County, Illinois",0.08107863131656469,0.12757761160208475,0.04389304328121459,0.01497847269431226,0.0020167686381146613,0.0020167686381146613,17,31,44130.0,2010-2014
BURNSIDE,"Census Tract 4701, Cook County, Illinois",0.1711229946524064,0.10886172650878534,0.033231474407944994,0.01833460656990069,0.010313216195569137,0.002291825821237586,17,31,2618.0,2010-2014
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",0.0858955223880597,0.14067164179104477,0.09634328358208956,0.0535820895522388,0.012313432835820896,0.008582089552238806,17,31,13400.0,2010-2014
CHATHAM,"Census Tract 4408, Cook County, Illinois",0.1691804527990347,0.14555615533610644,0.07255580605213857,0.026482075381830884,0.010542025211951862,0.003365827326707522,17,31,31493.0,2010-2014
CHICAGO LAWN,"Census Tract 6606, Cook County, Illinois",0.10903664754054679,0.10852148579752367,0.04636455687208001,0.013820546071447604,0.002824507487609472,0.0007460963174817473,17,31,56293.0,2010-2014
CLEARING,"Census Tract 6405, Cook County, Illinois",0.0722231310322264,0.09954195975789301,0.09766072304923933,0.055210207753966956,0.014231964665467037,0.006298053328971045,17,31,24452.0,2010-2014
DOUGLAS,"Census Tract 3510, Cook County, Illinois",0.21065362840967575,0.12388059701492538,0.08754503345342254,0.0251672671127123,0.01276376737004632,0.006845084920226454,17,31,19430.0,2010-2014
DUNNING,"Census Tract 1701, Cook County, Illinois",0.06963510092211925,0.10480105915964044,0.0952546860845934,0.06227208324623139,0.014888625647457784,0.0085476041158572,17,31,43053.0,2010-2014
EAST GARFIELD PARK,"Census Tract 8368, Cook County, Illinois",0.18040550540180553,0.09136204429973854,0.047506289773568154,0.013368852054659366,0.004735829510137635,0.0020719254106852155,17,31,20271.0,2010-2014
EAST SIDE,"Census Tract 5203, Cook County, Illinois",0.07363410421668984,0.10341631913728463,0.06424027970849656,0.029066093769745987,0.010152070432621424,0.002527486414760521,17,31,23739.0,2010-2014
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",0.14629133828575738,0.16782307025151777,0.1060748897017233,0.05337682416380708,0.02403936800030167,0.021927674497530074,17,31,53038.0,2010-2014
EDISON PARK,"Census Tract 901, Cook County, Illinois",0.04521058855635404,0.1051578277085418,0.10697716728827436,0.07286455016828891,0.043755116892567995,0.034567452014918586,17,31,10993.0,2010-2014
ENGLEWOOD,"Census Tract 6812, Cook County, Illinois",0.20661611166062205,0.09678719273180203,0.026156720518738324,0.010807048393596365,0.0009524856211305272,0.0016118987434516614,17,31,27297.0,2010-2014
FOREST GLEN,"Census Tract 1204, Cook County, Illinois",0.039885268968503085,0.07581989392791427,0.07273514449615759,0.07533282822816322,0.038099361402749214,0.05925966013637839,17,31,18478.0,2010-2014
FULLER PARK,"Census Tract 8355, Cook County, Illinois",0.2618953991348801,0.11049941014549744,0.03735745182854896,0.02202123476209202,0.0,0.0031458906802988595,17,31,2543.0,2010-2014
GAGE PARK,"Census Tract 6308, Cook County, Illinois",0.06864614546445111,0.10227582278794482,0.04680419008939848,0.013620266957232362,0.0022040068348976004,0.0004952824348084495,17,31,40381.0,2010-2014
GARFIELD RIDGE,"Census Tract 9801, Cook County, Illinois",0.0628903664047434,0.10402095386120945,0.08151282272688024,0.060213568200788645,0.024436577152232103,0.010649627263045794,17,31,34743.0,2010-2014
GRAND BOULEVARD,"Census Tract 8436, Cook County, Illinois",0.19972482357640584,0.11641738049798056,0.06977053836935777,0.028449691536105808,0.01406950423860459,0.010518840708357374,17,31,22531.0,2010-2014
GREATER GRAND CROSSING,"Census Tract 6913, Cook County, Illinois",0.17817893999817347,0.10873999208499498,0.05339584157813023,0.016743279856312215,0.003653079241377211,0.005570945843100247,17,31,32849.0,2010-2014
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",0.10119940029985007,0.1160848147354894,0.08952666523880917,0.041979010494752625,0.027843221246519598,0.0034268579995716426,17,31,9338.0,2010-2014
HERMOSA,"Census Tract 2004.01, Cook County, Illinois",0.08270252858753423,0.10971976163633436,0.058463520695764215,0.021058141407634078,0.004992752456112096,0.0018118859719761637,17,31,24836.0,2010-2014
HUMBOLDT PARK,"Census Tract 2308, Cook County, Illinois",0.11993029441438137,0.10343942034302485,0.055819499220398056,0.014619829404750985,0.004677611666513803,0.002971659176373475,17,31,54515.0,2010-2014
HYDE PARK,"Census Tract 8362, Cook County, Illinois",0.1325014854426619,0.1166747690811862,0.07875546912980068,0.043969102792632206,0.021012261653972884,0.030789175174201912,17,31,18513.0,2010-2014
