Community Area,NAME,0-25k,25-60k,60-100k,100-150k,150-200k,200k+,state,county,population,period
LINCOLN PARK,"Census Tract 705, Cook County, Illinois",5587.0,5777.0,6338.0,5238.0,3258.0,6073.0,17,31,65951.0,2010-2014
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",3609.0,4907.0,4292.0,2342.0,1126.0,1447.0,17,31,39547.0,2010-2014
LOGAN SQUARE,"Census Tract 2226, Cook County, Illinois",6720.0,8709.0,6029.0,3792.0,2091.0,1896.0,17,31,74055.0,2010-2014
LOOP,"Census Tract 3204, Cook County, Illinois",2695.0,2954.0,3571.0,3191.0,1896.0,2387.0,17,31,30642.0,2010-2014
LOWER WEST SIDE,"Census Tract 3105, Cook County, Illinois",4020.0,4699.0,2098.0,745.0,192.0,147.0,17,31,34979.0,2010-2014
MCKINLEY PARK,"Census Tract 5907, Cook County, Illinois",1493.0,1944.0,1131.0,388.0,137.0,42.0,17,31,16449.0,2010-2014
MONTCLARE,"Census Tract 1801, Cook County, Illinois",1076.0,1931.0,734.0,489.0,67.0,106.0,17,31,12840.0,2010-2014
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",1836.0,2062.0,2074.0,1190.0,504.0,281.0,17,31,23204.0,2010-2014
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",696.0,1147.0,1796.0,1785.0,724.0,268.0,17,31,18357.0,2010-2014
NEAR NORTH SIDE,"Census Tract 811, Cook County, Illinois",8984.0,8268.0,9481.0,7274.0,4088.0,8059.0,17,31,74080.0,2010-2014
NEAR SOUTH SIDE,"Census Tract 8410, Cook County, Illinois",2135.0,3067.0,2600.0,2034.0,1013.0,1750.0,17,31,22021.0,2010-2014
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",7127.0,4559.0,5764.0,4547.0,2374.0,2602.0,17,31,58899.0,2010-2014
NEW CITY,"Census Tract 8438, Cook County, Illinois",4589.0,4461.0,1706.0,501.0,232.0,44.0,17,31,41598.0,2010-2014
NORTH CENTER,"Census Tract 503, Cook County, Illinois",1528.0,2972.0,3493.0,2751.0,1336.0,2590.0,17,31,34815.0,2010-2014
NORTH LAWNDALE,"Census Tract 2916, Cook County, Illinois",5665.0,3073.0,1418.0,482.0,76.0,41.0,17,31,35623.0,2010-2014
