Community Area,NAME,no_hs,hs,some_college,state,county,bachelors,graduate,population,period
LAKE VIEW,"Census Tract 628, Cook County, Illinois",1623.0,4110.0,8420.0,17,31,30866.0,20386.0,87343.0,2010-2014
LINCOLN PARK,"Census Tract 705, Cook County, Illinois",1440.0,2269.0,4409.0,17,31,20594.0,17234.0,65951.0,2010-2014
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",3260.0,3981.0,5856.0,17,31,10988.0,6792.0,39547.0,2010-2014
LOGAN SQUARE,"Census Tract 2226, Cook County, Illinois",7108.0,11029.0,9681.0,17,31,15453.0,8085.0,74055.0,2010-2014
LOOP,"Census Tract 3204, Cook County, Illinois",525.0,1333.0,3184.0,17,31,9282.0,8926.0,30642.0,2010-2014
LOWER WEST SIDE,"Census Tract 3105, Cook County, Illinois",7733.0,5688.0,3903.0,17,31,3294.0,1426.0,34979.0,2010-2014
MCKINLEY PARK,"Census Tract 5907, Cook County, Illinois",3262.0,3311.0,2017.0,17,31,1277.0,619.0,16449.0,2010-2014
MONTCLARE,"Census Tract 1801, Cook County, Illinois",2000.0,2627.0,2372.0,17,31,968.0,406.0,12840.0,2010-2014
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",1524.0,3887.0,5582.0,17,31,2555.0,2208.0,23204.0,2010-2014
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",552.0,3328.0,3922.0,17,31,2533.0,1413.0,18357.0,2010-2014
NEAR NORTH SIDE,"Census Tract 811, Cook County, Illinois",1638.0,3680.0,8468.0,17,31,25667.0,21850.0,74080.0,2010-2014
NEAR SOUTH SIDE,"Census Tract 8410, Cook County, Illinois",1137.0,1372.0,3048.0,17,31,5627.0,6330.0,22021.0,2010-2014
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",3369.0,4445.0,6060.0,17,31,13663.0,12351.0,58899.0,2010-2014
NEW CITY,"Census Tract 8438, Cook County, Illinois",8704.0,8635.0,4234.0,17,31,1145.0,588.0,41598.0,2010-2014
NORTH CENTER,"Census Tract 503, Cook County, Illinois",1567.0,2842.0,4075.0,17,31,10832.0,6610.0,34815.0,2010-2014
NORTH LAWNDALE,"Census Tract 2916, Cook County, Illinois",5195.0,6265.0,5966.0,17,31,1302.0,587.0,35623.0,2010-2014
NORTH PARK,"Census Tract 1302, Cook County, Illinois",1520.0,2138.0,3185.0,17,31,3785.0,2033.0,18058.0,2010-2014
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",2202.0,7286.0,8467.0,17,31,5802.0,3284.0,36486.0,2010-2014
OAKLAND,"Census Tract 3602, Cook County, Illinois",361.0,442.0,695.0,17,31,148.0,51.0,3264.0,2010-2014
