Community Area,NAME,female,state,county,population,period
BELMONT CRAGIN,"Census Tract 1908, Cook County, Illinois",0.5050019603131443,17,31,79069.0,2010-2014
BEVERLY,"Census Tract 7203, Cook County, Illinois",0.5213313017807828,17,31,21002.0,2010-2014
BRIDGEPORT,"Census Tract 8397, Cook County, Illinois",0.5011741131531983,17,31,31939.0,2010-2014
BRIGHTON PARK,"Census Tract 5802, Cook County, Illinois",0.4829141173804668,17,31,44130.0,2010-2014
BURNSIDE,"Census Tract 4701, Cook County, Illinois",0.4847211611917494,17,31,2618.0,2010-2014
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",0.5730597014925373,17,31,13400.0,2010-2014
CHATHAM,"Census Tract 4408, Cook County, Illinois",0.565744768678754,17,31,31493.0,2010-2014
CHICAGO LAWN,"Census Tract 6606, Cook County, Illinois",0.5362656102890235,17,31,56293.0,2010-2014
CLEARING,"Census Tract 6405, Cook County, Illinois",0.5280958612792409,17,31,24452.0,2010-2014
DOUGLAS,"Census Tract 3510, Cook County, Illinois",0.573134328358209,17,31,19430.0,2010-2014
DUNNING,"Census Tract 1701, Cook County, Illinois",0.5030079204701182,17,31,43053.0,2010-2014
EAST GARFIELD PARK,"Census Tract 8368, Cook County, Illinois",0.540180553500074,17,31,20271.0,2010-2014
EAST SIDE,"Census Tract 5203, Cook County, Illinois",0.521251948270778,17,31,23739.0,2010-2014
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",0.4963799539952487,17,31,53038.0,2010-2014
EDISON PARK,"Census Tract 901, Cook County, Illinois",0.5228781952151369,17,31,10993.0,2010-2014
ENGLEWOOD,"Census Tract 6812, Cook County, Illinois",0.5496208374546654,17,31,27297.0,2010-2014
FOREST GLEN,"Census Tract 1204, Cook County, Illinois",0.5274380344193095,17,31,18478.0,2010-2014
FULLER PARK,"Census Tract 8355, Cook County, Illinois",0.5210381439244987,17,31,2543.0,2010-2014
GAGE PARK,"Census Tract 6308, Cook County, Illinois",0.4813649983903321,17,31,40381.0,2010-2014
GARFIELD RIDGE,"Census Tract 9801, Cook County, Illinois",0.5043030250697982,17,31,34743.0,2010-2014
GRAND BOULEVARD,"Census Tract 8436, Cook County, Illinois",0.5703253295459589,17,31,22531.0,2010-2014
GREATER GRAND CROSSING,"Census Tract 6913, Cook County, Illinois",0.5696368230387531,17,31,32849.0,2010-2014
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",0.4937888198757764,17,31,9338.0,2010-2014
HERMOSA,"Census Tract 2004.01, Cook County, Illinois",0.4933966822354646,17,31,24836.0,2010-2014
HUMBOLDT PARK,"Census Tract 2308, Cook County, Illinois",0.5222966156103824,17,31,54515.0,2010-2014
HYDE PARK,"Census Tract 8362, Cook County, Illinois",0.5127207907956571,17,31,18513.0,2010-2014
IRVING PARK,"Census Tract 1605.02, Cook County, Illinois",0.5063905115949726,17,31,56490.0,2010-2014
JEFFERSON PARK,"Census Tract 1103, Cook County, Illinois",0.5048748841519926,17,31,26975.0,2010-2014
KENWOOD,"Census Tract 3904, Cook County, Illinois",0.5426915113871635,17,31,12075.0,2010-2014
LAKE VIEW,"Census Tract 628, Cook County, Illinois",0.5007957134515645,17,31,87343.0,2010-2014
LINCOLN PARK,"Census Tract 705, Cook County, Illinois",0.5064365968673712,17,31,65951.0,2010-2014
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",0.5003413659696058,17,31,39547.0,2010-2014
LOGAN SQUARE,"Census Tract 2226, Cook County, Illinois",0.4928093984200932,17,31,74055.0,2010-2014
LOOP,"Census Tract 3204, Cook County, Illinois",0.5036224789504602,17,31,30642.0,2010-2014
LOWER WEST SIDE,"Census Tract 3105, Cook County, Illinois",0.480831355956431,17,31,34979.0,2010-2014
MCKINLEY PARK,"Census Tract 5907, Cook County, Illinois",0.48884430664478085,17,31,16449.0,2010-2014
MONTCLARE,"Census Tract 1801, Cook County, Illinois",0.5100467289719626,17,31,12840.0,2010-2014
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",0.5481813480434408,17,31,23204.0,2010-2014
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",0.5054747507762707,17,31,18357.0,2010-2014
NEAR NORTH SIDE,"Census Tract 811, Cook County, Illinois",0.5478401727861771,17,31,74080.0,2010-2014
NEAR SOUTH SIDE,"Census Tract 8410, Cook County, Illinois",0.5116025611915899,17,31,22021.0,2010-2014
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",0.5029457206404183,17,31,58899.0,2010-2014
NEW CITY,"Census Tract 8438, Cook County, Illinois",0.5050723592480407,17,31,41598.0,2010-2014
NORTH CENTER,"Census Tract 503, Cook County, Illinois",0.5042366795921298,17,31,34815.0,2010-2014
NORTH LAWNDALE,"Census Tract 2916, Cook County, Illinois",0.5544170900822503,17,31,35623.0,2010-2014
NORTH PARK,"Census Tract 1302, Cook County, Illinois",0.5015505593088936,17,31,18058.0,2010-2014
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",0.5073726908951378,17,31,36486.0,2010-2014
OAKLAND,"Census Tract 3602, Cook County, Illinois",0.6366421568627451,17,31,3264.0,2010-2014
OHARE,"Census Tract 9800, Cook County, Illinois",0.47535883475924484,17,31,14143.0,2010-2014
PORTAGE PARK,"Census Tract 1504.01, Cook County, Illinois",0.5094758408741676,17,31,64427.0,2010-2014
PULLMAN,"Census Tract 5002, Cook County, Illinois",0.5863701578192253,17,31,6970.0,2010-2014
RIVERDALE,"Census Tract 5401.01, Cook County, Illinois",0.5831710709318498,17,31,7190.0,2010-2014
ROGERS PARK,"Census Tract 102.01, Cook County, Illinois",0.49947340182421557,17,31,50323.0,2010-2014
ROSELAND,"Census Tract 4905, Cook County, Illinois",0.5578195947319674,17,31,44267.0,2010-2014
SOUTH CHICAGO,"Census Tract 4602, Cook County, Illinois",0.5403152364273205,17,31,28550.0,2010-2014
SOUTH DEERING,"Census Tract 5103, Cook County, Illinois",0.5376364804110468,17,31,15570.0,2010-2014
SOUTH LAWNDALE,"Census Tract 3007, Cook County, Illinois",0.4349967755656481,17,31,72881.0,2010-2014
SOUTH SHORE,"Census Tract 4304, Cook County, Illinois",0.5689724919093851,17,31,39552.0,2010-2014
UPTOWN,"Census Tract 317, Cook County, Illinois",0.48074433058340427,17,31,54062.0,2010-2014
WASHINGTON HEIGHTS,"Census Tract 7303, Cook County, Illinois",0.5678078305277094,17,31,26435.0,2010-2014
WASHINGTON PARK,"Census Tract 8361, Cook County, Illinois",0.5835837554735125,17,31,11647.0,2010-2014
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",0.5066005739629533,17,31,19165.0,2010-2014
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",0.5315126050420168,17,31,34272.0,2010-2014
WEST GARFIELD PARK,"Census Tract 2606, Cook County, Illinois",0.518506751389992,17,31,18885.0,2010-2014
WEST LAWN,"Census Tract 6503.01, Cook County, Illinois",0.4893210263763181,17,31,33477.0,2010-2014
WEST PULLMAN,"Census Tract 5305.01, Cook County, Illinois",0.5563920454545455,17,31,28160.0,2010-2014
WEST RIDGE,"Census Tract 202, Cook County, Illinois",0.5016913406099782,17,31,73019.0,2010-2014
WEST TOWN,"Census Tract 2407, Cook County, Illinois",0.49023351794969106,17,31,84319.0,2010-2014
WOODLAWN,"Census Tract 8439, Cook County, Illinois",0.5542414836352206,17,31,25451.0,2010-2014
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",0.49538208248002247,17,31,49806.0,2015-2019
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",0.4865947836223226,17,31,13726.0,2015-2019
ARMOUR SQUARE,"Census Tract 3406, Cook County, Illinois",0.5148470970601271,17,31,13538.0,2015-2019
ASHBURN,"Census Tract 7002, Cook County, Illinois",0.5270781437401975,17,31,43356.0,2015-2019
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",0.5414842405628526,17,31,45909.0,2015-2019
AUSTIN,"Census Tract 8313, Cook County, Illinois",0.5393216469107087,17,31,93727.0,2015-2019
AVALON PARK,"Census Tract 8343, Cook County, Illinois",0.5692371049109441,17,31,9713.0,2015-2019
AVONDALE,"Census Tract 8311, Cook County, Illinois",0.49787501967574377,17,31,38118.0,2015-2019
BELMONT CRAGIN,"Census Tract 1910, Cook County, Illinois",0.5024490782560018,17,31,78601.0,2015-2019
BEVERLY,"Census Tract 7201, Cook County, Illinois",0.5268556414531858,17,31,19791.0,2015-2019
BRIDGEPORT,"Census Tract 6007, Cook County, Illinois",0.5023740590619572,17,31,34540.0,2015-2019
BRIGHTON PARK,"Census Tract 5807, Cook County, Illinois",0.4860041670441163,17,31,44156.0,2015-2019
BURNSIDE,"Census Tract 4701, Cook County, Illinois",0.5044865403788634,17,31,2006.0,2015-2019
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",0.5557549746390948,17,31,12815.0,2015-2019
CHATHAM,"Census Tract 4409, Cook County, Illinois",0.5478412503632899,17,31,30967.0,2015-2019
CHICAGO LAWN,"Census Tract 6610, Cook County, Illinois",0.5275938619722699,17,31,51352.0,2015-2019
CLEARING,"Census Tract 6404, Cook County, Illinois",0.5130925688661114,17,31,24976.0,2015-2019
DOUGLAS,"Census Tract 3510, Cook County, Illinois",0.53954947782513,17,31,21353.0,2015-2019
DUNNING,"Census Tract 1709, Cook County, Illinois",0.5143054436644032,17,31,43445.0,2015-2019
EAST GARFIELD PARK,"Census Tract 2705, Cook County, Illinois",0.5478880675818374,17,31,18940.0,2015-2019
EAST SIDE,"Census Tract 5204, Cook County, Illinois",0.5074400370948026,17,31,23723.0,2015-2019
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",0.48322414135398056,17,31,55407.0,2015-2019
EDISON PARK,"Census Tract 901, Cook County, Illinois",0.5071022727272727,17,31,11264.0,2015-2019
ENGLEWOOD,"Census Tract 6814, Cook County, Illinois",0.530081584573099,17,31,22921.0,2015-2019
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",0.5258460586050351,17,31,19384.0,2015-2019
FULLER PARK,"Census Tract 8355, Cook County, Illinois",0.5085836909871244,17,31,2330.0,2015-2019
GAGE PARK,"Census Tract 6302, Cook County, Illinois",0.4967714392443567,17,31,37478.0,2015-2019
GARFIELD RIDGE,"Census Tract 5609, Cook County, Illinois",0.49928776843067163,17,31,37207.0,2015-2019
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",0.5849489908581018,17,31,22643.0,2015-2019
GREATER GRAND CROSSING,"Census Tract 6911, Cook County, Illinois",0.5569007263922519,17,31,30149.0,2015-2019
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",0.4848718230828474,17,31,9089.0,2015-2019
HERMOSA,"Census Tract 2001, Cook County, Illinois",0.4781312550572804,17,31,23481.0,2015-2019
HUMBOLDT PARK,"Census Tract 2307, Cook County, Illinois",0.5192543891337331,17,31,55364.0,2015-2019
