Community Area,NAME,no_hs,hs,some_college,state,county,bachelors,graduate,population,period
ENGLEWOOD,"Census Tract 6801, Cook County, Illinois",0.18299892002500995,0.22744841698402773,0.21659182629454896,17,31,0.03433183652589098,0.012220769624282386,35186.0,2005-2009
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",0.06977836614425417,0.15322201819191186,0.1974206772857326,17,31,0.19088696246316778,0.14929324849468334,23417.0,2005-2009
FULLER PARK,"Census Tract 3701, Cook County, Illinois",0.24871872173650889,0.2610792885137172,0.23063008742839916,17,31,0.04582454024721134,0.006029544769369913,3317.0,2005-2009
GAGE PARK,"Census Tract 6301, Cook County, Illinois",0.3150996723443636,0.18291188314449364,0.1091018233660989,17,31,0.030289387459043044,0.006803231534979115,39981.0,2005-2009
GARFIELD RIDGE,"Census Tract 8208, Cook County, Illinois",0.15595823712478668,0.2752986647926915,0.20334303784760566,17,31,0.08048890673627146,0.03059431783957434,39844.0,2005-2009
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",0.15020434403269506,0.17830738852918215,0.22464067594250814,17,31,0.09454929512788722,0.06750241080038573,21777.0,2005-2009
GREATER GRAND CROSSING,"Census Tract 6901, Cook County, Illinois",0.14496196450020019,0.20851461363939677,0.2542639797144001,17,31,0.07246763646069665,0.03240357667156012,37465.0,2005-2009
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",0.12876838235294116,0.2869485294117647,0.2135110294117647,17,31,0.08740808823529411,0.020863970588235293,10880.0,2005-2009
HERMOSA,"Census Tract 2001, Cook County, Illinois",0.2614735226400614,0.22697620874904068,0.14451266308518804,17,31,0.04669992325402916,0.012317728319263239,26060.0,2005-2009
HUMBOLDT PARK,"Census Tract 2301, Cook County, Illinois",0.2524626491006354,0.2222183750843966,0.1584058999705694,17,31,0.036701694856569086,0.014940359745858075,57763.0,2005-2009
HYDE PARK,"Census Tract 4101, Cook County, Illinois",0.04184176206346906,0.08234313867555426,0.20765106506303435,17,31,0.2016012172148964,0.32172873496594695,27604.0,2005-2009
IRVING PARK,"Census Tract 1608, Cook County, Illinois",0.17664783427495293,0.17306967984934088,0.18407806882383154,17,31,0.145351823317925,0.07779489813388119,58410.0,2005-2009
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",0.11651395251978343,0.2529848674163543,0.21629876440372067,17,31,0.15163820630292935,0.06132861307788422,28812.0,2005-2009
KENWOOD,"Census Tract 3901, Cook County, Illinois",0.0864017907106883,0.11326245103525462,0.22837157246782316,17,31,0.1575265808617795,0.20402909904868494,17870.0,2005-2009
LAKE VIEW,"Census Tract 601, Cook County, Illinois",0.030780290158149263,0.061952685923408704,0.14693068444212085,17,31,0.4261425521718294,0.22995904674770182,91812.0,2005-2009
LINCOLN PARK,"Census Tract 701, Cook County, Illinois",0.0339911965246411,0.06209902471302396,0.15111194223078914,17,31,0.3656463074311689,0.2574009609022124,69518.0,2005-2009
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",0.11757096482878134,0.1373898611212809,0.16143125625442387,17,31,0.2646994215420663,0.14283273534939347,40971.0,2005-2009
LOGAN SQUARE,"Census Tract 2201, Cook County, Illinois",0.16400049297510474,0.17987429134828692,0.15761646536849888,17,31,0.1856174513187084,0.0929134828691151,81140.0,2005-2009
LOOP,"Census Tract 3201, Cook County, Illinois",0.0308407477756673,0.09012296311106668,0.19954013795861242,17,31,0.309407177846646,0.2989103269019294,20006.0,2005-2009
LOWER WEST SIDE,"Census Tract 3101, Cook County, Illinois",0.31566027163326843,0.15796355097793313,0.13005309923419697,17,31,0.08165007871494516,0.038610347679910346,37477.0,2005-2009
MCKINLEY PARK,"Census Tract 5901, Cook County, Illinois",0.2566699604743083,0.25592885375494073,0.15100049407114624,17,31,0.06373517786561265,0.02507411067193676,16192.0,2005-2009
MONTCLARE,"Census Tract 1801, Cook County, Illinois",0.19998625996152788,0.2567326188513328,0.19016213245397087,17,31,0.09350096180269304,0.024319868095630668,14556.0,2005-2009
MORGAN PARK,"Census Tract 7501, Cook County, Illinois",0.08931812733312784,0.20356861536353985,0.2653173053871708,17,31,0.11572314120346587,0.07397513613479914,29199.0,2005-2009
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",0.04414322250639386,0.2430690537084399,0.270230179028133,17,31,0.12726342710997443,0.057442455242966754,19550.0,2005-2009
NEAR NORTH SIDE,"Census Tract 801, Cook County, Illinois",0.036195938614168345,0.07315403296646515,0.16600785407947088,17,31,0.34331886529220274,0.2998501524311476,77412.0,2005-2009
NEAR SOUTH SIDE,"Census Tract 3301, Cook County, Illinois",0.08134718136519181,0.08302815633067179,0.1572912289127694,17,31,0.2660743231074023,0.2607912589301795,16657.0,2005-2009
NEAR WEST SIDE,"Census Tract 2801, Cook County, Illinois",0.11404245571166768,0.13265500916310324,0.18389202810018326,17,31,0.20960598656078192,0.1896189676237019,52384.0,2005-2009
NEW CITY,"Census Tract 6101, Cook County, Illinois",0.2689796005190275,0.18561613239454597,0.14243474931399033,17,31,0.030503499181042736,0.011741932739146158,47011.0,2005-2009
NORTH CENTER,"Census Tract 501, Cook County, Illinois",0.054501343037865004,0.12104670305866043,0.12147994107962914,17,31,0.3540709932703694,0.17699217283308782,34623.0,2005-2009
NORTH LAWNDALE,"Census Tract 2901, Cook County, Illinois",0.2048947382942913,0.23425213144607235,0.170405319647932,17,31,0.03793836051099523,0.01840355378969732,36243.0,2005-2009
NORTH PARK,"Census Tract 1301, Cook County, Illinois",0.13735778481999064,0.15356641903475504,0.18203543041196946,17,31,0.16499558418619148,0.12099329835316121,19249.0,2005-2009
NORWOOD PARK,"Census Tract 1001, Cook County, Illinois",0.11616419690001703,0.22060004379881742,0.2310144292770762,17,31,0.14599605810643113,0.07134340706134268,41097.0,2005-2009
OAKLAND,"Census Tract 3601, Cook County, Illinois",0.1015929203539823,0.23504424778761063,0.1830088495575221,17,31,0.12495575221238939,0.09380530973451327,2825.0,2005-2009
OHARE,"Census Tract 8116, Cook County, Illinois",0.12264265136659647,0.28554482291137095,0.22724961870869345,17,31,0.12346575640932529,0.059190936160941246,41307.0,2005-2009
PORTAGE PARK,"Census Tract 1501, Cook County, Illinois",0.14699013033978753,0.24521961877495668,0.20524372786860545,17,31,0.10784298952761244,0.057183756498154145,66365.0,2005-2009
PULLMAN,"Census Tract 5001, Cook County, Illinois",0.10759493670886076,0.2282278481012658,0.25911392405063294,17,31,0.08354430379746836,0.03962025316455696,7900.0,2005-2009
RIVERDALE,"Census Tract 5401, Cook County, Illinois",0.12847046945986876,0.2193336698637052,0.21580010095911156,17,31,0.039121655729429584,0.0069409389197375064,7924.0,2005-2009
ROGERS PARK,"Census Tract 101, Cook County, Illinois",0.14457015590200445,0.14100668151447662,0.2361336302895323,17,31,0.17263251670378618,0.10380400890868596,56125.0,2005-2009
ROSELAND,"Census Tract 4901, Cook County, Illinois",0.13567314831537336,0.21863022495133747,0.2849517388076174,17,31,0.06274958360925491,0.03814741235727329,49833.0,2005-2009
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",0.2003678583745258,0.2059719507989424,0.196143234854581,17,31,0.07256581216231751,0.021870329922979652,34796.0,2005-2009
SOUTH DEERING,"Census Tract 5101, Cook County, Illinois",0.19063469675599437,0.22645980253878703,0.22188998589562764,17,31,0.05269393511988717,0.028208744710860368,17725.0,2005-2009
SOUTH LAWNDALE,"Census Tract 3001, Cook County, Illinois",0.3979230251926957,0.17834048936940666,0.09497697998034245,17,31,0.02741710206404221,0.00712586001758833,77324.0,2005-2009
SOUTH SHORE,"Census Tract 4301, Cook County, Illinois",0.12259828554537393,0.17933417085427136,0.2609185634052616,17,31,0.11781333136269584,0.06043083062370677,54128.0,2005-2009
UPTOWN,"Census Tract 310, Cook County, Illinois",0.12074246712169136,0.15153987015148992,0.1871816214416514,17,31,0.24642916597303147,0.15332112535375395,60070.0,2005-2009
WASHINGTON HEIGHTS,"Census Tract 7301, Cook County, Illinois",0.1172201373645826,0.26994972739502937,0.24764568434468598,17,31,0.06192027189690576,0.05972527083480847,28246.0,2005-2009
