community_area,NAME,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75+,state,county,population,period
PORTAGE PARK,"Census Tract 1501, Cook County, Illinois",15763.0,5662.0,9922.0,10374.0,9682.0,7872.0,3899.0,3191.0,17,31,66365.0,2005-2009
PULLMAN,"Census Tract 5001, Cook County, Illinois",2227.0,624.0,1130.0,919.0,1173.0,656.0,727.0,444.0,17,31,7900.0,2005-2009
RIVERDALE,"Census Tract 5401, Cook County, Illinois",3093.0,985.0,1115.0,951.0,663.0,582.0,280.0,255.0,17,31,7924.0,2005-2009
ROGERS PARK,"Census Tract 101, Cook County, Illinois",11329.0,7093.0,12307.0,8814.0,7126.0,4661.0,2950.0,1845.0,17,31,56125.0,2005-2009
ROSELAND,"Census Tract 4901, Cook County, Illinois",12949.0,5308.0,6111.0,6289.0,6633.0,5101.0,4267.0,3175.0,17,31,49833.0,2005-2009
SOUTH CHICAGO,"Census Tract 4601, Cook County, Illinois",10546.0,3342.0,4649.0,4643.0,4356.0,3053.0,2693.0,1514.0,17,31,34796.0,2005-2009
SOUTH DEERING,"Census Tract 5101, Cook County, Illinois",4965.0,1819.0,2176.0,2492.0,2436.0,1487.0,1529.0,821.0,17,31,17725.0,2005-2009
SOUTH LAWNDALE,"Census Tract 3001, Cook County, Illinois",22750.0,11833.0,15248.0,11189.0,8223.0,4374.0,2385.0,1322.0,17,31,77324.0,2005-2009
SOUTH SHORE,"Census Tract 4301, Cook County, Illinois",14014.0,4910.0,7646.0,7212.0,7926.0,6090.0,3572.0,2758.0,17,31,54128.0,2005-2009
UPTOWN,"Census Tract 310, Cook County, Illinois",8457.0,5771.0,15197.0,10987.0,8290.0,5504.0,3232.0,2632.0,17,31,60070.0,2005-2009
WASHINGTON HEIGHTS,"Census Tract 7301, Cook County, Illinois",6879.0,2406.0,3293.0,3334.0,4104.0,3409.0,2541.0,2280.0,17,31,28246.0,2005-2009
WASHINGTON PARK,"Census Tract 4001, Cook County, Illinois",4252.0,1483.0,1707.0,1374.0,1552.0,835.0,421.0,647.0,17,31,12271.0,2005-2009
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",5449.0,2113.0,2641.0,2413.0,2345.0,1598.0,615.0,1075.0,17,31,18249.0,2005-2009
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",12801.0,5085.0,5110.0,6196.0,5173.0,3908.0,2648.0,1408.0,17,31,42329.0,2005-2009
WEST GARFIELD PARK,"Census Tract 2604, Cook County, Illinois",6305.0,2627.0,2489.0,2197.0,2349.0,1369.0,1055.0,873.0,17,31,19264.0,2005-2009
WEST LAWN,"Census Tract 6501, Cook County, Illinois",11201.0,2884.0,6047.0,4357.0,3510.0,2415.0,1290.0,1606.0,17,31,33310.0,2005-2009
WEST PULLMAN,"Census Tract 5301, Cook County, Illinois",10665.0,3673.0,4356.0,4227.0,4518.0,3514.0,2386.0,1420.0,17,31,34759.0,2005-2009
WEST RIDGE,"Census Tract 201, Cook County, Illinois",18538.0,6531.0,10186.0,10428.0,10066.0,7300.0,4434.0,4432.0,17,31,71915.0,2005-2009
WEST TOWN,"Census Tract 2401, Cook County, Illinois",14802.0,8030.0,28184.0,14761.0,9318.0,5878.0,2918.0,2463.0,17,31,86354.0,2005-2009
WOODLAWN,"Census Tract 4201, Cook County, Illinois",6318.0,2266.0,3823.0,3074.0,3134.0,2042.0,1516.0,1237.0,17,31,23410.0,2005-2009
ALBANY PARK,"Census Tract 1406.01, Cook County, Illinois",12041.0,5390.0,10596.0,8474.0,6569.0,4881.0,2302.0,1936.0,17,31,52930.0,2010-2014
ARCHER HEIGHTS,"Census Tract 5704, Cook County, Illinois",3757.0,1562.0,2100.0,2117.0,1705.0,1122.0,841.0,602.0,17,31,13998.0,2010-2014
ARMOUR SQUARE,"Census Tract 3404, Cook County, Illinois",2558.0,1373.0,2112.0,1502.0,1898.0,1661.0,1101.0,1471.0,17,31,13850.0,2010-2014
ASHBURN,"Census Tract 7004.01, Cook County, Illinois",10470.0,4871.0,5117.0,5383.0,7316.0,4833.0,2482.0,1769.0,17,31,42809.0,2010-2014
AUBURN GRESHAM,"Census Tract 7107, Cook County, Illinois",11191.0,4573.0,5904.0,5605.0,6186.0,5986.0,4008.0,3507.0,17,31,47611.0,2010-2014
AUSTIN,"Census Tract 2508, Cook County, Illinois",25792.0,11081.0,12813.0,11437.0,13761.0,11767.0,6976.0,4616.0,17,31,99711.0,2010-2014
AVALON PARK,"Census Tract 8343, Cook County, Illinois",1788.0,928.0,1315.0,1136.0,1584.0,1221.0,1235.0,797.0,17,31,10098.0,2010-2014
AVONDALE,"Census Tract 2101, Cook County, Illinois",8237.0,4612.0,8495.0,5695.0,4425.0,3705.0,2055.0,1353.0,17,31,39117.0,2010-2014
BELMONT CRAGIN,"Census Tract 1908, Cook County, Illinois",22111.0,8509.0,12310.0,11890.0,9787.0,7045.0,3757.0,2405.0,17,31,79069.0,2010-2014
BEVERLY,"Census Tract 7203, Cook County, Illinois",4971.0,1573.0,1838.0,2778.0,3636.0,3188.0,1574.0,1184.0,17,31,21002.0,2010-2014
BRIDGEPORT,"Census Tract 8397, Cook County, Illinois",5861.0,3646.0,5672.0,4229.0,4080.0,4658.0,1756.0,1537.0,17,31,31939.0,2010-2014
BRIGHTON PARK,"Census Tract 5802, Cook County, Illinois",13104.0,5205.0,6280.0,7208.0,5340.0,3548.0,1615.0,1195.0,17,31,44130.0,2010-2014
BURNSIDE,"Census Tract 4701, Cook County, Illinois",546.0,289.0,311.0,216.0,360.0,402.0,281.0,202.0,17,31,2618.0,2010-2014
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",2358.0,949.0,1063.0,1971.0,1977.0,1745.0,1863.0,1422.0,17,31,13400.0,2010-2014
CHATHAM,"Census Tract 4408, Cook County, Illinois",6702.0,2812.0,3887.0,4030.0,4694.0,4237.0,2183.0,2683.0,17,31,31493.0,2010-2014
CHICAGO LAWN,"Census Tract 6606, Cook County, Illinois",16937.0,6726.0,8383.0,7542.0,6767.0,5044.0,2628.0,1393.0,17,31,56293.0,2010-2014
CLEARING,"Census Tract 6405, Cook County, Illinois",5607.0,1819.0,4271.0,3429.0,3248.0,2593.0,1555.0,1503.0,17,31,24452.0,2010-2014
DOUGLAS,"Census Tract 3510, Cook County, Illinois",2719.0,3720.0,3128.0,2260.0,2438.0,2146.0,1370.0,1464.0,17,31,19430.0,2010-2014
DUNNING,"Census Tract 1701, Cook County, Illinois",7886.0,3582.0,6764.0,5497.0,6707.0,5929.0,3238.0,2934.0,17,31,43053.0,2010-2014
EAST GARFIELD PARK,"Census Tract 8368, Cook County, Illinois",5729.0,2501.0,2893.0,2437.0,2652.0,1862.0,1063.0,801.0,17,31,20271.0,2010-2014
EAST SIDE,"Census Tract 5203, Cook County, Illinois",7250.0,2172.0,3175.0,3489.0,2683.0,2437.0,1067.0,1137.0,17,31,23739.0,2010-2014
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",5807.0,5591.0,11645.0,8594.0,7171.0,6673.0,3747.0,3194.0,17,31,53038.0,2010-2014
EDISON PARK,"Census Tract 901, Cook County, Illinois",2134.0,552.0,1555.0,1689.0,1702.0,1500.0,810.0,1024.0,17,31,10993.0,2010-2014
ENGLEWOOD,"Census Tract 6812, Cook County, Illinois",7424.0,3446.0,3738.0,2782.0,3313.0,3246.0,1476.0,1485.0,17,31,27297.0,2010-2014
FOREST GLEN,"Census Tract 1204, Cook County, Illinois",4385.0,1129.0,1541.0,2717.0,2942.0,2391.0,1578.0,1563.0,17,31,18478.0,2010-2014
FULLER PARK,"Census Tract 8355, Cook County, Illinois",551.0,225.0,287.0,272.0,265.0,362.0,346.0,196.0,17,31,2543.0,2010-2014
GAGE PARK,"Census Tract 6308, Cook County, Illinois",12451.0,4810.0,6544.0,6387.0,4576.0,2518.0,1575.0,915.0,17,31,40381.0,2010-2014
GARFIELD RIDGE,"Census Tract 9801, Cook County, Illinois",7573.0,3024.0,4425.0,5075.0,5312.0,4079.0,2497.0,2528.0,17,31,34743.0,2010-2014
GRAND BOULEVARD,"Census Tract 8436, Cook County, Illinois",5427.0,2153.0,3145.0,3520.0,2816.0,2324.0,1659.0,1255.0,17,31,22531.0,2010-2014
GREATER GRAND CROSSING,"Census Tract 6913, Cook County, Illinois",8542.0,3510.0,3602.0,3876.0,4658.0,4031.0,1961.0,2136.0,17,31,32849.0,2010-2014
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",2110.0,585.0,1270.0,1144.0,1318.0,1206.0,769.0,809.0,17,31,9338.0,2010-2014
HERMOSA,"Census Tract 2004.01, Cook County, Illinois",6666.0,2935.0,4007.0,3570.0,2892.0,2477.0,1166.0,779.0,17,31,24836.0,2010-2014
HUMBOLDT PARK,"Census Tract 2308, Cook County, Illinois",16072.0,6278.0,8991.0,7093.0,6034.0,5242.0,2477.0,1459.0,17,31,54515.0,2010-2014
HYDE PARK,"Census Tract 8362, Cook County, Illinois",2618.0,4666.0,3864.0,1954.0,1790.0,1602.0,920.0,911.0,17,31,18513.0,2010-2014
IRVING PARK,"Census Tract 1605.02, Cook County, Illinois",11607.0,4896.0,11318.0,9390.0,7692.0,5602.0,2944.0,1991.0,17,31,56490.0,2010-2014
JEFFERSON PARK,"Census Tract 1103, Cook County, Illinois",5354.0,1926.0,3844.0,3830.0,3950.0,3692.0,2104.0,1918.0,17,31,26975.0,2010-2014
KENWOOD,"Census Tract 3904, Cook County, Illinois",2792.0,865.0,1736.0,1818.0,1477.0,1571.0,1004.0,628.0,17,31,12075.0,2010-2014
LAKE VIEW,"Census Tract 628, Cook County, Illinois",8429.0,12273.0,34200.0,12931.0,8116.0,4865.0,2887.0,2406.0,17,31,87343.0,2010-2014
LINCOLN PARK,"Census Tract 705, Cook County, Illinois",8342.0,10668.0,20472.0,8889.0,5875.0,5074.0,3372.0,2264.0,17,31,65951.0,2010-2014
LINCOLN SQUARE,"Census Tract 401, Cook County, Illinois",5987.0,2060.0,11008.0,6760.0,5370.0,4079.0,2175.0,1485.0,17,31,39547.0,2010-2014
LOGAN SQUARE,"Census Tract 2226, Cook County, Illinois",13473.0,7925.0,20730.0,12919.0,7624.0,5211.0,2860.0,2012.0,17,31,74055.0,2010-2014
LOOP,"Census Tract 3204, Cook County, Illinois",1553.0,5449.0,9786.0,4115.0,2859.0,3934.0,1647.0,909.0,17,31,30642.0,2010-2014
LOWER WEST SIDE,"Census Tract 3105, Cook County, Illinois",8480.0,4097.0,7567.0,5404.0,3393.0,2828.0,1501.0,1351.0,17,31,34979.0,2010-2014
MCKINLEY PARK,"Census Tract 5907, Cook County, Illinois",4218.0,1583.0,2728.0,2238.0,2030.0,1987.0,809.0,694.0,17,31,16449.0,2010-2014
MONTCLARE,"Census Tract 1801, Cook County, Illinois",3189.0,1210.0,1939.0,1810.0,1616.0,1580.0,624.0,804.0,17,31,12840.0,2010-2014
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",5117.0,2020.0,2482.0,2787.0,3578.0,2965.0,1763.0,2181.0,17,31,23204.0,2010-2014
MOUNT GREENWOOD,"Census Tract 7401, Cook County, Illinois",4398.0,1899.0,2137.0,2828.0,2718.0,2041.0,1079.0,945.0,17,31,18357.0,2010-2014
NEAR NORTH SIDE,"Census Tract 811, Cook County, Illinois",4939.0,7088.0,25259.0,9190.0,7708.0,8251.0,6861.0,4034.0,17,31,74080.0,2010-2014
NEAR SOUTH SIDE,"Census Tract 8410, Cook County, Illinois",2698.0,1420.0,6245.0,4543.0,2398.0,2231.0,1146.0,951.0,17,31,22021.0,2010-2014
NEAR WEST SIDE,"Census Tract 2831, Cook County, Illinois",7877.0,10229.0,18419.0,8717.0,4852.0,4276.0,2163.0,1461.0,17,31,58899.0,2010-2014
NEW CITY,"Census Tract 8438, Cook County, Illinois",12668.0,5041.0,6065.0,5557.0,4978.0,3817.0,1638.0,1251.0,17,31,41598.0,2010-2014
NORTH CENTER,"Census Tract 503, Cook County, Illinois",6273.0,1924.0,10037.0,6532.0,4212.0,2432.0,1568.0,1145.0,17,31,34815.0,2010-2014
NORTH LAWNDALE,"Census Tract 2916, Cook County, Illinois",11126.0,4779.0,4985.0,3508.0,4596.0,3250.0,1505.0,1471.0,17,31,35623.0,2010-2014
NORTH PARK,"Census Tract 1302, Cook County, Illinois",3554.0,1588.0,2791.0,2262.0,2216.0,1810.0,1760.0,1822.0,17,31,18058.0,2010-2014
