NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract
"Census Tract 3008, Cook County, Illinois",2982.0,17.0,0.0,0.0,0.0,1646.0,29.0,17,031,300800
"Census Tract 3406, Cook County, Illinois",3.0,1043.0,0.0,0.0,0.0,0.0,20.0,17,031,340600
"Census Tract 3403, Cook County, Illinois",350.0,20.0,0.0,1315.0,0.0,0.0,49.0,17,031,340300
"Census Tract 3510, Cook County, Illinois",138.0,2962.0,0.0,901.0,0.0,0.0,21.0,17,031,351000
"Census Tract 8143, Cook County, Illinois",1544.0,186.0,35.0,0.0,0.0,2769.0,74.0,17,031,814300
"Census Tract 8159, Cook County, Illinois",2389.0,1470.0,0.0,579.0,0.0,14.0,141.0,17,031,815900
"Census Tract 8087.02, Cook County, Illinois",3468.0,402.0,6.0,1317.0,5.0,64.0,339.0,17,031,808702
"Census Tract 6606, Cook County, Illinois",609.0,3873.0,0.0,10.0,0.0,1490.0,182.0,17,031,660600
"Census Tract 6701, Cook County, Illinois",75.0,1475.0,0.0,0.0,0.0,51.0,0.0,17,031,670100
"Census Tract 6708, Cook County, Illinois",0.0,1688.0,0.0,0.0,0.0,0.0,0.0,17,031,670800
"Census Tract 6711, Cook County, Illinois",5.0,1481.0,0.0,0.0,0.0,0.0,0.0,17,031,671100
"Census Tract 6712, Cook County, Illinois",0.0,1033.0,0.0,0.0,0.0,0.0,30.0,17,031,671200
"Census Tract 6714, Cook County, Illinois",32.0,1814.0,0.0,0.0,0.0,5.0,13.0,17,031,671400
"Census Tract 6715, Cook County, Illinois",85.0,3037.0,0.0,0.0,0.0,116.0,16.0,17,031,671500
"Census Tract 6716, Cook County, Illinois",26.0,2080.0,0.0,0.0,0.0,152.0,33.0,17,031,671600
"Census Tract 6720, Cook County, Illinois",29.0,3913.0,0.0,0.0,0.0,190.0,16.0,17,031,672000
"Census Tract 8074, Cook County, Illinois",4768.0,407.0,16.0,1440.0,0.0,73.0,132.0,17,031,807400
"Census Tract 8076, Cook County, Illinois",3425.0,78.0,0.0,2542.0,0.0,39.0,282.0,17,031,807600
"Census Tract 8239.03, Cook County, Illinois",4431.0,147.0,0.0,47.0,0.0,79.0,11.0,17,031,823903
"Census Tract 2429, Cook County, Illinois",1278.0,102.0,0.0,39.0,0.0,293.0,106.0,17,031,242900
"Census Tract 5704, Cook County, Illinois",1149.0,15.0,40.0,1.0,0.0,708.0,20.0,17,031,570400
"Census Tract 8223.02, Cook County, Illinois",3282.0,448.0,8.0,204.0,0.0,416.0,172.0,17,031,822302
"Census Tract 8256, Cook County, Illinois",993.0,4417.0,0.0,45.0,0.0,135.0,22.0,17,031,825600
"Census Tract 8284.01, Cook County, Illinois",2457.0,892.0,0.0,38.0,0.0,214.0,80.0,17,031,828401
