NAME,B03001_002E,B03001_003E,state,county,tract
"Census Tract 8051.06, Cook County, Illinois",2605.0,63.0,17,031,805106
"Census Tract 8051.09, Cook County, Illinois",4234.0,88.0,17,031,805109
"Census Tract 8050.02, Cook County, Illinois",5921.0,726.0,17,031,805002
"Census Tract 8048.08, Cook County, Illinois",2252.0,303.0,17,031,804808
"Census Tract 8049.02, Cook County, Illinois",4934.0,819.0,17,031,804902
"Census Tract 8051.12, Cook County, Illinois",2662.0,285.0,17,031,805112
"Census Tract 8055.02, Cook County, Illinois",3697.0,250.0,17,031,805502
"Census Tract 8058.01, Cook County, Illinois",2365.0,20.0,17,031,805801
"Census Tract 8067, Cook County, Illinois",3898.0,319.0,17,031,806700
"Census Tract 8078, Cook County, Illinois",2369.0,386.0,17,031,807800
"Census Tract 8090, Cook County, Illinois",4097.0,67.0,17,031,809000
"Census Tract 8091, Cook County, Illinois",3269.0,76.0,17,031,809100
"Census Tract 8103.02, Cook County, Illinois",3121.0,139.0,17,031,810302
"Census Tract 8105.02, Cook County, Illinois",4656.0,408.0,17,031,810502
"Census Tract 8107.01, Cook County, Illinois",3435.0,1611.0,17,031,810701
"Census Tract 8108, Cook County, Illinois",4322.0,1193.0,17,031,810800
"Census Tract 8114.02, Cook County, Illinois",2529.0,1910.0,17,031,811402
"Census Tract 8115, Cook County, Illinois",3652.0,2331.0,17,031,811500
"Census Tract 8119, Cook County, Illinois",5761.0,174.0,17,031,811900
"Census Tract 1910, Cook County, Illinois",215.0,2686.0,17,031,191000
"Census Tract 8056, Cook County, Illinois",4527.0,152.0,17,031,805600
"Census Tract 8060.04, Cook County, Illinois",6186.0,1485.0,17,031,806004
"Census Tract 8072, Cook County, Illinois",5013.0,823.0,17,031,807200
"Census Tract 8075, Cook County, Illinois",3023.0,414.0,17,031,807500
"Census Tract 8173, Cook County, Illinois",1813.0,564.0,17,031,817300
"Census Tract 8191, Cook County, Illinois",2357.0,2001.0,17,031,819100
"Census Tract 8196, Cook County, Illinois",3627.0,222.0,17,031,819600
"Census Tract 8278.04, Cook County, Illinois",3069.0,20.0,17,031,827804
"Census Tract 8275, Cook County, Illinois",3107.0,2261.0,17,031,827500
"Census Tract 8278.01, Cook County, Illinois",4287.0,465.0,17,031,827801
"Census Tract 8285.06, Cook County, Illinois",8257.0,995.0,17,031,828506
"Census Tract 8291, Cook County, Illinois",1084.0,2709.0,17,031,829100
"Census Tract 8295, Cook County, Illinois",2682.0,1472.0,17,031,829500
"Census Tract 8300.04, Cook County, Illinois",6945.0,163.0,17,031,830004
"Census Tract 8300.05, Cook County, Illinois",4152.0,40.0,17,031,830005
"Census Tract 8300.06, Cook County, Illinois",2136.0,127.0,17,031,830006
"Census Tract 8302.01, Cook County, Illinois",5947.0,20.0,17,031,830201
"Census Tract 8366, Cook County, Illinois",1061.0,1365.0,17,031,836600
"Census Tract 8363, Cook County, Illinois",1538.0,45.0,17,031,836300
"Census Tract 8364, Cook County, Illinois",3139.0,70.0,17,031,836400
"Census Tract 8365, Cook County, Illinois",1596.0,52.0,17,031,836500
"Census Tract 8367, Cook County, Illinois",1968.0,630.0,17,031,836700
"Census Tract 8368, Cook County, Illinois",2184.0,77.0,17,031,836800
"Census Tract 8369, Cook County, Illinois",1445.0,108.0,17,031,836900
"Census Tract 8370, Cook County, Illinois",2343.0,114.0,17,031,837000
"Census Tract 8371, Cook County, Illinois",1781.0,158.0,17,031,837100
"Census Tract 8373, Cook County, Illinois",2038.0,120.0,17,031,837300
"Census Tract 8374, Cook County, Illinois",2019.0,15.0,17,031,837400
"Census Tract 8378, Cook County, Illinois",3087.0,331.0,17,031,837800
"Census Tract 8037.02, Cook County, Illinois",5487.0,465.0,17,031,803702
"Census Tract 8041.08, Cook County, Illinois",3443.0,372.0,17,031,804108
"Census Tract 8041.09, Cook County, Illinois",2734.0,258.0,17,031,804109
"Census Tract 8043.08, Cook County, Illinois",4648.0,509.0,17,031,804308
"Census Tract 8043.09, Cook County, Illinois",1893.0,1064.0,17,031,804309
"Census Tract 8043.10, Cook County, Illinois",7591.0,1767.0,17,031,804310
"Census Tract 8043.11, Cook County, Illinois",5719.0,2788.0,17,031,804311
"Census Tract 8044.03, Cook County, Illinois",4018.0,2816.0,17,031,804403
"Census Tract 8044.04, Cook County, Illinois",2250.0,3076.0,17,031,804404
"Census Tract 8044.05, Cook County, Illinois",1136.0,2240.0,17,031,804405
"Census Tract 3504, Cook County, Illinois",1327.0,52.0,17,031,350400
"Census Tract 3206, Cook County, Illinois",4274.0,177.0,17,031,320600
"Census Tract 8048.10, Cook County, Illinois",6054.0,963.0,17,031,804810
"Census Tract 8049.01, Cook County, Illinois",6109.0,225.0,17,031,804901
"Census Tract 8053.01, Cook County, Illinois",2974.0,262.0,17,031,805301
"Census Tract 8053.02, Cook County, Illinois",3401.0,118.0,17,031,805302
"Census Tract 8054.02, Cook County, Illinois",4227.0,563.0,17,031,805402
"Census Tract 8063, Cook County, Illinois",3980.0,863.0,17,031,806300
"Census Tract 8071, Cook County, Illinois",3490.0,162.0,17,031,807100
"Census Tract 8082, Cook County, Illinois",5270.0,330.0,17,031,808200
"Census Tract 8085, Cook County, Illinois",3888.0,184.0,17,031,808500
"Census Tract 8129, Cook County, Illinois",4815.0,222.0,17,031,812900
"Census Tract 8131, Cook County, Illinois",4410.0,389.0,17,031,813100
"Census Tract 8132, Cook County, Illinois",4394.0,151.0,17,031,813200
"Census Tract 8134, Cook County, Illinois",1060.0,6854.0,17,031,813400
"Census Tract 8141, Cook County, Illinois",274.0,4032.0,17,031,814100
"Census Tract 2916, Cook County, Illinois",242.0,562.0,17,031,291600
"Census Tract 2924, Cook County, Illinois",2095.0,29.0,17,031,292400
"Census Tract 3011, Cook County, Illinois",166.0,3016.0,17,031,301100
"Census Tract 3016, Cook County, Illinois",145.0,4368.0,17,031,301600
"Census Tract 8059.02, Cook County, Illinois",6068.0,380.0,17,031,805902
"Census Tract 8061.02, Cook County, Illinois",3552.0,588.0,17,031,806102
"Census Tract 8069, Cook County, Illinois",4376.0,309.0,17,031,806900
"Census Tract 8084, Cook County, Illinois",3992.0,395.0,17,031,808400
"Census Tract 8086, Cook County, Illinois",1962.0,98.0,17,031,808600
"Census Tract 3105, Cook County, Illinois",82.0,1640.0,17,031,310500
"Census Tract 3109, Cook County, Illinois",690.0,4375.0,17,031,310900
"Census Tract 8077, Cook County, Illinois",5150.0,1089.0,17,031,807700
"Census Tract 3904, Cook County, Illinois",2472.0,52.0,17,031,390400
"Census Tract 4201, Cook County, Illinois",1172.0,52.0,17,031,420100
"Census Tract 4204, Cook County, Illinois",1150.0,66.0,17,031,420400
"Census Tract 4312, Cook County, Illinois",3192.0,99.0,17,031,431200
"Census Tract 4605, Cook County, Illinois",4759.0,39.0,17,031,460500
"Census Tract 4802, Cook County, Illinois",1157.0,0.0,17,031,480200
"Census Tract 4905, Cook County, Illinois",2280.0,60.0,17,031,490500
"Census Tract 4906, Cook County, Illinois",1451.0,1.0,17,031,490600
"Census Tract 4908, Cook County, Illinois",3745.0,24.0,17,031,490800
"Census Tract 5002, Cook County, Illinois",2075.0,16.0,17,031,500200
"Census Tract 5103, Cook County, Illinois",6022.0,15.0,17,031,510300
"Census Tract 5203, Cook County, Illinois",735.0,5381.0,17,031,520300
"Census Tract 8148, Cook County, Illinois",2690.0,3221.0,17,031,814800
"Census Tract 8149, Cook County, Illinois",3215.0,3496.0,17,031,814900
"Census Tract 8153, Cook County, Illinois",1670.0,2175.0,17,031,815300
"Census Tract 8156, Cook County, Illinois",3541.0,1579.0,17,031,815600
"Census Tract 8183, Cook County, Illinois",4118.0,2209.0,17,031,818300
"Census Tract 8192, Cook County, Illinois",3506.0,2877.0,17,031,819200
"Census Tract 1406.01, Cook County, Illinois",1089.0,1880.0,17,031,140601
"Census Tract 1407.01, Cook County, Illinois",1176.0,1209.0,17,031,140701
"Census Tract 1407.02, Cook County, Illinois",2252.0,4000.0,17,031,140702
"Census Tract 1504.01, Cook County, Illinois",3435.0,1370.0,17,031,150401
"Census Tract 1504.02, Cook County, Illinois",1936.0,1759.0,17,031,150402
"Census Tract 1505.01, Cook County, Illinois",2653.0,1090.0,17,031,150501
"Census Tract 1505.02, Cook County, Illinois",2564.0,1726.0,17,031,150502
"Census Tract 1510.01, Cook County, Illinois",829.0,1709.0,17,031,151001
"Census Tract 1510.02, Cook County, Illinois",1652.0,3033.0,17,031,151002
"Census Tract 1605.02, Cook County, Illinois",1525.0,3043.0,17,031,160502
"Census Tract 1606.01, Cook County, Illinois",1612.0,2387.0,17,031,160601
"Census Tract 1606.02, Cook County, Illinois",2064.0,1919.0,17,031,160602
"Census Tract 1605.01, Cook County, Illinois",1330.0,3168.0,17,031,160501
"Census Tract 1906.01, Cook County, Illinois",778.0,3999.0,17,031,190601
"Census Tract 1904.01, Cook County, Illinois",1651.0,2532.0,17,031,190401
"Census Tract 5603, Cook County, Illinois",1428.0,1746.0,17,031,560300
"Census Tract 4804, Cook County, Illinois",6059.0,47.0,17,031,480400
"Census Tract 5202, Cook County, Illinois",622.0,3365.0,17,031,520200
"Census Tract 5206, Cook County, Illinois",652.0,2358.0,17,031,520600
"Census Tract 5608, Cook County, Illinois",2859.0,3078.0,17,031,560800
"Census Tract 5802, Cook County, Illinois",577.0,2805.0,17,031,580200
