NAME,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract
"Census Tract 6711, Cook County, Illinois",69.0,43.0,55.0,22.0,37.0,36.0,25.0,25.0,9.0,3.0,30.0,14.0,4.0,0.0,0.0,0.0,17,031,671100
"Census Tract 6712, Cook County, Illinois",101.0,33.0,22.0,25.0,56.0,11.0,24.0,2.0,0.0,24.0,25.0,0.0,4.0,0.0,0.0,4.0,17,031,671200
"Census Tract 6714, Cook County, Illinois",86.0,37.0,50.0,95.0,42.0,30.0,54.0,13.0,39.0,9.0,21.0,14.0,15.0,31.0,12.0,0.0,17,031,671400
"Census Tract 6715, Cook County, Illinois",115.0,138.0,162.0,93.0,64.0,36.0,63.0,62.0,42.0,48.0,25.0,86.0,6.0,0.0,0.0,0.0,17,031,671500
"Census Tract 6716, Cook County, Illinois",133.0,95.0,115.0,71.0,89.0,39.0,46.0,43.0,14.0,11.0,47.0,18.0,13.0,0.0,0.0,0.0,17,031,671600
"Census Tract 6720, Cook County, Illinois",80.0,28.0,85.0,53.0,33.0,95.0,99.0,124.0,20.0,90.0,170.0,96.0,32.0,56.0,28.0,14.0,17,031,672000
"Census Tract 8074, Cook County, Illinois",107.0,109.0,155.0,96.0,124.0,43.0,79.0,85.0,112.0,210.0,237.0,274.0,264.0,48.0,74.0,105.0,17,031,807400
"Census Tract 8076, Cook County, Illinois",52.0,70.0,171.0,100.0,58.0,67.0,164.0,30.0,38.0,113.0,363.0,205.0,115.0,130.0,183.0,91.0,17,031,807600
"Census Tract 8239.03, Cook County, Illinois",33.0,6.0,27.0,23.0,27.0,8.0,129.0,42.0,29.0,145.0,209.0,109.0,206.0,163.0,285.0,263.0,17,031,823903
"Census Tract 2429, Cook County, Illinois",59.0,31.0,24.0,124.0,29.0,16.0,38.0,54.0,20.0,55.0,58.0,82.0,98.0,50.0,17.0,86.0,17,031,242900
"Census Tract 5704, Cook County, Illinois",15.0,6.0,6.0,75.0,23.0,112.0,25.0,32.0,39.0,49.0,74.0,30.0,41.0,1.0,8.0,13.0,17,031,570400
"Census Tract 8223.02, Cook County, Illinois",121.0,80.0,64.0,58.0,78.0,47.0,72.0,69.0,66.0,61.0,197.0,242.0,117.0,70.0,124.0,10.0,17,031,822302
"Census Tract 8256, Cook County, Illinois",317.0,146.0,115.0,107.0,149.0,84.0,175.0,77.0,18.0,192.0,248.0,135.0,94.0,51.0,0.0,27.0,17,031,825600
"Census Tract 8284.01, Cook County, Illinois",73.0,0.0,69.0,26.0,88.0,43.0,50.0,79.0,54.0,120.0,114.0,234.0,57.0,118.0,109.0,80.0,17,031,828401
"Census Tract 8279.01, Cook County, Illinois",39.0,25.0,39.0,18.0,6.0,0.0,18.0,21.0,24.0,46.0,95.0,171.0,101.0,148.0,75.0,20.0,17,031,827901
