NAME,B03001_002E,B03001_003E,state,county,tract
"Census Tract 8138.01, Cook County, Illinois",48.0,2669.0,17,031,813801
"Census Tract 8138.02, Cook County, Illinois",607.0,4366.0,17,031,813802
"Census Tract 8206.03, Cook County, Illinois",3985.0,1895.0,17,031,820603
"Census Tract 8206.04, Cook County, Illinois",3158.0,775.0,17,031,820604
"Census Tract 8206.05, Cook County, Illinois",3984.0,641.0,17,031,820605
"Census Tract 8206.06, Cook County, Illinois",3234.0,612.0,17,031,820606
"Census Tract 8238.05, Cook County, Illinois",2497.0,419.0,17,031,823805
"Census Tract 8238.06, Cook County, Illinois",3299.0,467.0,17,031,823806
"Census Tract 8240.03, Cook County, Illinois",5770.0,354.0,17,031,824003
"Census Tract 8240.04, Cook County, Illinois",5236.0,226.0,17,031,824004
"Census Tract 8326, Cook County, Illinois",3771.0,147.0,17,031,832600
"Census Tract 203.02, Cook County, Illinois",4440.0,697.0,17,031,020302
"Census Tract 206.02, Cook County, Illinois",3562.0,1203.0,17,031,020602
"Census Tract 207.01, Cook County, Illinois",1632.0,212.0,17,031,020701
"Census Tract 203.01, Cook County, Illinois",5006.0,378.0,17,031,020301
"Census Tract 206.01, Cook County, Illinois",6185.0,340.0,17,031,020601
"Census Tract 207.02, Cook County, Illinois",5751.0,2475.0,17,031,020702
"Census Tract 208.01, Cook County, Illinois",4646.0,1529.0,17,031,020801
"Census Tract 208.02, Cook County, Illinois",6939.0,977.0,17,031,020802
"Census Tract 209.01, Cook County, Illinois",4803.0,1352.0,17,031,020901
"Census Tract 209.02, Cook County, Illinois",3952.0,896.0,17,031,020902
"Census Tract 8154, Cook County, Illinois",2478.0,2646.0,17,031,815400
"Census Tract 8166, Cook County, Illinois",492.0,4212.0,17,031,816600
"Census Tract 8171.01, Cook County, Illinois",4484.0,273.0,17,031,817101
"Census Tract 8172, Cook County, Illinois",3352.0,923.0,17,031,817200
"Census Tract 8174, Cook County, Illinois",1471.0,2581.0,17,031,817400
"Census Tract 8199, Cook County, Illinois",3171.0,127.0,17,031,819900
"Census Tract 8205.01, Cook County, Illinois",4577.0,1298.0,17,031,820501
"Census Tract 8224, Cook County, Illinois",4636.0,1313.0,17,031,822400
"Census Tract 8228.02, Cook County, Illinois",2776.0,712.0,17,031,822802
"Census Tract 8233.03, Cook County, Illinois",3337.0,1158.0,17,031,823303
"Census Tract 8236.04, Cook County, Illinois",3298.0,378.0,17,031,823604
"Census Tract 4205, Cook County, Illinois",1614.0,121.0,17,031,420500
"Census Tract 4304, Cook County, Illinois",2727.0,38.0,17,031,430400
"Census Tract 4306, Cook County, Illinois",2086.0,82.0,17,031,430600
"Census Tract 4409, Cook County, Illinois",2333.0,0.0,17,031,440900
"Census Tract 4601, Cook County, Illinois",3101.0,422.0,17,031,460100
"Census Tract 4805, Cook County, Illinois",2566.0,373.0,17,031,480500
"Census Tract 2831, Cook County, Illinois",2906.0,288.0,17,031,283100
"Census Tract 3007, Cook County, Illinois",187.0,4654.0,17,031,300700
"Census Tract 3008, Cook County, Illinois",63.0,3897.0,17,031,300800
"Census Tract 3406, Cook County, Illinois",981.0,0.0,17,031,340600
"Census Tract 3403, Cook County, Illinois",1752.0,123.0,17,031,340300
"Census Tract 3510, Cook County, Illinois",3257.0,12.0,17,031,351000
"Census Tract 8143, Cook County, Illinois",327.0,4738.0,17,031,814300
"Census Tract 8159, Cook County, Illinois",4413.0,517.0,17,031,815900
"Census Tract 8087.02, Cook County, Illinois",4685.0,540.0,17,031,808702
"Census Tract 6606, Cook County, Illinois",2786.0,2840.0,17,031,660600
"Census Tract 6701, Cook County, Illinois",751.0,250.0,17,031,670100
"Census Tract 6708, Cook County, Illinois",984.0,31.0,17,031,670800
"Census Tract 6711, Cook County, Illinois",747.0,7.0,17,031,671100
"Census Tract 6712, Cook County, Illinois",1019.0,0.0,17,031,671200
"Census Tract 6714, Cook County, Illinois",1057.0,90.0,17,031,671400
"Census Tract 4909.01, Cook County, Illinois",3189.0,75.0,17,031,490901
"Census Tract 4909.02, Cook County, Illinois",4160.0,44.0,17,031,490902
"Census Tract 5305.02, Cook County, Illinois",1427.0,29.0,17,031,530502
"Census Tract 2225, Cook County, Illinois",869.0,823.0,17,031,222500
"Census Tract 2228, Cook County, Illinois",367.0,645.0,17,031,222800
"Census Tract 8072, Cook County, Illinois",4781.0,532.0,17,031,807200
"Census Tract 8075, Cook County, Illinois",2984.0,374.0,17,031,807500
"Census Tract 7502, Cook County, Illinois",2768.0,135.0,17,031,750200
"Census Tract 8043.08, Cook County, Illinois",4774.0,2238.0,17,031,804308
"Census Tract 8043.09, Cook County, Illinois",1691.0,1395.0,17,031,804309
"Census Tract 8043.10, Cook County, Illinois",6720.0,2198.0,17,031,804310
"Census Tract 301.02, Cook County, Illinois",2524.0,317.0,17,031,030102
"Census Tract 7608.02, Cook County, Illinois",2385.0,168.0,17,031,760802
"Census Tract 7608.03, Cook County, Illinois",5291.0,497.0,17,031,760803
"Census Tract 7702.01, Cook County, Illinois",5376.0,699.0,17,031,770201
"Census Tract 7702.02, Cook County, Illinois",4198.0,551.0,17,031,770202
"Census Tract 7706.01, Cook County, Illinois",3119.0,115.0,17,031,770601
"Census Tract 7706.02, Cook County, Illinois",2390.0,2808.0,17,031,770602
"Census Tract 7709.01, Cook County, Illinois",4457.0,491.0,17,031,770901
"Census Tract 7709.02, Cook County, Illinois",3057.0,252.0,17,031,770902
"Census Tract 8020.03, Cook County, Illinois",2049.0,532.0,17,031,802003
"Census Tract 8020.04, Cook County, Illinois",4436.0,593.0,17,031,802004
"Census Tract 8237.02, Cook County, Illinois",5299.0,849.0,17,031,823702
"Census Tract 8250, Cook County, Illinois",4016.0,776.0,17,031,825000
"Census Tract 8262.01, Cook County, Illinois",3217.0,53.0,17,031,826201
"Census Tract 8263.01, Cook County, Illinois",3580.0,284.0,17,031,826301
"Census Tract 6715, Cook County, Illinois",1985.0,296.0,17,031,671500
"Census Tract 6716, Cook County, Illinois",1643.0,0.0,17,031,671600
"Census Tract 6720, Cook County, Illinois",3479.0,54.0,17,031,672000
"Census Tract 8024.03, Cook County, Illinois",1271.0,69.0,17,031,802403
"Census Tract 8024.04, Cook County, Illinois",4306.0,3157.0,17,031,802404
"Census Tract 8025.05, Cook County, Illinois",3227.0,3352.0,17,031,802505
"Census Tract 8025.06, Cook County, Illinois",1322.0,1154.0,17,031,802506
"Census Tract 8026.07, Cook County, Illinois",1213.0,40.0,17,031,802607
"Census Tract 8026.08, Cook County, Illinois",6184.0,199.0,17,031,802608
"Census Tract 8026.09, Cook County, Illinois",3325.0,2974.0,17,031,802609
"Census Tract 8026.10, Cook County, Illinois",1619.0,36.0,17,031,802610
"Census Tract 8030.12, Cook County, Illinois",1689.0,361.0,17,031,803012
"Census Tract 8030.13, Cook County, Illinois",4685.0,738.0,17,031,803013
"Census Tract 8030.14, Cook County, Illinois",2775.0,785.0,17,031,803014
"Census Tract 8030.15, Cook County, Illinois",3970.0,432.0,17,031,803015
"Census Tract 8030.16, Cook County, Illinois",2509.0,107.0,17,031,803016
"Census Tract 8030.17, Cook County, Illinois",5127.0,924.0,17,031,803017
"Census Tract 8036.11, Cook County, Illinois",2965.0,2819.0,17,031,803611
"Census Tract 8036.12, Cook County, Illinois",1577.0,1940.0,17,031,803612
"Census Tract 8037.01, Cook County, Illinois",2487.0,279.0,17,031,803701
"Census Tract 8382, Cook County, Illinois",1641.0,417.0,17,031,838200
"Census Tract 8383, Cook County, Illinois",1657.0,53.0,17,031,838300
"Census Tract 8386, Cook County, Illinois",1592.0,136.0,17,031,838600
"Census Tract 8380, Cook County, Illinois",2223.0,366.0,17,031,838000
"Census Tract 2307, Cook County, Illinois",692.0,5560.0,17,031,230700
"Census Tract 2402, Cook County, Illinois",1384.0,249.0,17,031,240200
"Census Tract 2414, Cook County, Illinois",4909.0,571.0,17,031,241400
"Census Tract 2424, Cook County, Illinois",2563.0,166.0,17,031,242400
