NAME,B07001_002E,B07001_003E,B07001_004E,B07001_005E,B07001_006E,B07001_007E,B07001_008E,B07001_009E,B07001_010E,B07001_011E,B07001_012E,B07001_013E,B07001_014E,B07001_015E,B07001_016E,state,county,tract
"Census Tract 5609, Cook County, Illinois",247.0,708.0,117.0,318.0,346.0,382.0,436.0,224.0,372.0,575.0,344.0,351.0,402.0,179.0,271.0,17,031,560900
"Census Tract 5803, Cook County, Illinois",93.0,515.0,87.0,197.0,200.0,136.0,210.0,139.0,185.0,234.0,187.0,73.0,92.0,72.0,68.0,17,031,580300
"Census Tract 6113, Cook County, Illinois",217.0,564.0,127.0,188.0,266.0,159.0,114.0,90.0,252.0,113.0,117.0,122.0,95.0,109.0,117.0,17,031,611300
"Census Tract 6116, Cook County, Illinois",200.0,210.0,22.0,111.0,226.0,96.0,72.0,94.0,117.0,119.0,58.0,43.0,16.0,46.0,159.0,17,031,611600
"Census Tract 6203, Cook County, Illinois",600.0,1674.0,268.0,799.0,521.0,521.0,525.0,625.0,536.0,287.0,218.0,396.0,270.0,316.0,230.0,17,031,620300
"Census Tract 6204, Cook County, Illinois",155.0,958.0,191.0,344.0,471.0,254.0,209.0,386.0,259.0,120.0,315.0,251.0,162.0,165.0,121.0,17,031,620400
"Census Tract 1201, Cook County, Illinois",189.0,724.0,78.0,135.0,232.0,246.0,221.0,167.0,275.0,340.0,381.0,283.0,151.0,163.0,497.0,17,031,120100
"Census Tract 1401, Cook County, Illinois",191.0,600.0,81.0,348.0,256.0,421.0,211.0,334.0,183.0,140.0,186.0,63.0,24.0,35.0,57.0,17,031,140100
"Census Tract 8312, Cook County, Illinois",272.0,837.0,139.0,432.0,365.0,187.0,360.0,467.0,456.0,309.0,117.0,264.0,168.0,147.0,161.0,17,031,831200
"Census Tract 8313, Cook County, Illinois",29.0,119.0,0.0,110.0,72.0,51.0,101.0,87.0,65.0,104.0,67.0,44.0,50.0,63.0,33.0,17,031,831300
"Census Tract 8314, Cook County, Illinois",111.0,472.0,99.0,283.0,235.0,203.0,162.0,120.0,337.0,241.0,269.0,97.0,97.0,135.0,136.0,17,031,831400
"Census Tract 8315, Cook County, Illinois",228.0,485.0,9.0,311.0,257.0,375.0,333.0,163.0,200.0,381.0,314.0,284.0,103.0,44.0,145.0,17,031,831500
"Census Tract 8316, Cook County, Illinois",468.0,1390.0,288.0,778.0,581.0,239.0,454.0,578.0,685.0,285.0,488.0,264.0,623.0,280.0,577.0,17,031,831600
"Census Tract 8317, Cook County, Illinois",138.0,380.0,80.0,161.0,193.0,179.0,136.0,259.0,242.0,76.0,108.0,239.0,114.0,55.0,49.0,17,031,831700
"Census Tract 8318, Cook County, Illinois",455.0,820.0,355.0,516.0,584.0,518.0,265.0,441.0,567.0,224.0,450.0,314.0,357.0,194.0,388.0,17,031,831800
"Census Tract 8319, Cook County, Illinois",121.0,404.0,9.0,465.0,728.0,559.0,192.0,218.0,128.0,172.0,81.0,52.0,35.0,11.0,17.0,17,031,831900
"Census Tract 8320, Cook County, Illinois",32.0,26.0,34.0,334.0,334.0,345.0,122.0,104.0,64.0,88.0,44.0,26.0,21.0,12.0,6.0,17,031,832000
"Census Tract 8321, Cook County, Illinois",176.0,135.0,3.0,749.0,810.0,670.0,277.0,120.0,167.0,208.0,32.0,43.0,18.0,65.0,59.0,17,031,832100
"Census Tract 8322, Cook County, Illinois",233.0,238.0,12.0,157.0,733.0,457.0,448.0,242.0,150.0,127.0,121.0,59.0,46.0,22.0,27.0,17,031,832200
"Census Tract 8323, Cook County, Illinois",91.0,169.0,6.0,112.0,450.0,394.0,241.0,114.0,69.0,36.0,65.0,39.0,29.0,23.0,34.0,17,031,832300
"Census Tract 8324, Cook County, Illinois",165.0,271.0,19.0,164.0,605.0,498.0,381.0,266.0,210.0,114.0,129.0,66.0,67.0,81.0,16.0,17,031,832400
"Census Tract 8325, Cook County, Illinois",166.0,399.0,164.0,322.0,395.0,309.0,244.0,188.0,277.0,141.0,117.0,89.0,180.0,165.0,150.0,17,031,832500
"Census Tract 8257, Cook County, Illinois",277.0,754.0,71.0,197.0,252.0,357.0,292.0,234.0,365.0,260.0,323.0,164.0,126.0,146.0,327.0,17,031,825700
"Census Tract 8258.03, Cook County, Illinois",158.0,1021.0,292.0,582.0,425.0,352.0,244.0,169.0,496.0,501.0,480.0,362.0,185.0,335.0,609.0,17,031,825803
"Census Tract 8263.03, Cook County, Illinois",121.0,852.0,130.0,279.0,456.0,167.0,140.0,243.0,403.0,224.0,239.0,367.0,248.0,193.0,189.0,17,031,826303
"Census Tract 8273, Cook County, Illinois",173.0,569.0,110.0,215.0,82.0,207.0,129.0,110.0,118.0,184.0,126.0,81.0,156.0,123.0,155.0,17,031,827300
"Census Tract 8285.03, Cook County, Illinois",284.0,851.0,200.0,381.0,173.0,418.0,266.0,262.0,161.0,175.0,169.0,227.0,293.0,79.0,185.0,17,031,828503
"Census Tract 6404, Cook County, Illinois",194.0,668.0,118.0,89.0,303.0,277.0,336.0,179.0,205.0,192.0,189.0,227.0,139.0,84.0,285.0,17,031,640400
"Census Tract 6604, Cook County, Illinois",350.0,1207.0,177.0,615.0,415.0,444.0,337.0,317.0,422.0,338.0,255.0,396.0,122.0,190.0,174.0,17,031,660400
"Census Tract 6608, Cook County, Illinois",527.0,895.0,155.0,408.0,426.0,415.0,225.0,228.0,342.0,226.0,191.0,225.0,221.0,113.0,193.0,17,031,660800
"Census Tract 6713, Cook County, Illinois",122.0,345.0,32.0,71.0,134.0,169.0,151.0,97.0,102.0,170.0,60.0,63.0,39.0,176.0,220.0,17,031,671300
"Census Tract 8253.02, Cook County, Illinois",335.0,1193.0,68.0,450.0,432.0,476.0,379.0,425.0,674.0,505.0,614.0,208.0,352.0,167.0,228.0,17,031,825302
"Census Tract 8265, Cook County, Illinois",278.0,1217.0,152.0,605.0,392.0,209.0,467.0,261.0,251.0,187.0,616.0,431.0,217.0,239.0,364.0,17,031,826500
"Census Tract 8267, Cook County, Illinois",404.0,883.0,101.0,501.0,213.0,332.0,333.0,374.0,422.0,448.0,314.0,337.0,134.0,183.0,108.0,17,031,826700
"Census Tract 8271, Cook County, Illinois",96.0,380.0,56.0,243.0,299.0,131.0,80.0,147.0,214.0,204.0,138.0,93.0,94.0,85.0,175.0,17,031,827100
"Census Tract 8280, Cook County, Illinois",175.0,972.0,220.0,391.0,224.0,164.0,350.0,352.0,472.0,249.0,359.0,254.0,195.0,124.0,430.0,17,031,828000
"Census Tract 8282.02, Cook County, Illinois",174.0,705.0,41.0,345.0,328.0,292.0,216.0,278.0,310.0,140.0,372.0,525.0,286.0,151.0,316.0,17,031,828202
"Census Tract 8293.02, Cook County, Illinois",174.0,920.0,146.0,307.0,415.0,197.0,159.0,180.0,276.0,219.0,135.0,235.0,216.0,72.0,207.0,17,031,829302
"Census Tract 8044.06, Cook County, Illinois",497.0,1592.0,195.0,247.0,465.0,380.0,618.0,463.0,501.0,321.0,308.0,393.0,244.0,110.0,286.0,17,031,804406
"Census Tract 8045.06, Cook County, Illinois",262.0,780.0,119.0,156.0,233.0,300.0,328.0,223.0,390.0,455.0,489.0,343.0,285.0,237.0,468.0,17,031,804506
"Census Tract 8045.07, Cook County, Illinois",686.0,1782.0,22.0,394.0,529.0,828.0,1017.0,781.0,1290.0,814.0,618.0,782.0,430.0,462.0,989.0,17,031,804507
"Census Tract 8045.08, Cook County, Illinois",130.0,394.0,38.0,222.0,193.0,248.0,158.0,197.0,159.0,112.0,156.0,90.0,96.0,44.0,31.0,17,031,804508
"Census Tract 8045.09, Cook County, Illinois",365.0,1280.0,76.0,541.0,422.0,346.0,476.0,563.0,276.0,385.0,451.0,237.0,227.0,174.0,324.0,17,031,804509
"Census Tract 8045.10, Cook County, Illinois",369.0,1560.0,134.0,653.0,500.0,484.0,436.0,472.0,425.0,170.0,380.0,255.0,138.0,81.0,201.0,17,031,804510
"Census Tract 8045.11, Cook County, Illinois",156.0,604.0,44.0,221.0,145.0,173.0,185.0,266.0,167.0,180.0,94.0,84.0,40.0,29.0,52.0,17,031,804511
"Census Tract 8046.08, Cook County, Illinois",167.0,501.0,77.0,113.0,187.0,124.0,357.0,143.0,307.0,226.0,332.0,289.0,269.0,80.0,208.0,17,031,804608
"Census Tract 8046.09, Cook County, Illinois",253.0,795.0,94.0,332.0,393.0,329.0,476.0,311.0,443.0,470.0,455.0,378.0,422.0,265.0,253.0,17,031,804609
"Census Tract 8046.10, Cook County, Illinois",64.0,246.0,26.0,85.0,187.0,215.0,168.0,121.0,142.0,161.0,233.0,228.0,152.0,102.0,144.0,17,031,804610
"Census Tract 8046.11, Cook County, Illinois",239.0,718.0,75.0,144.0,163.0,201.0,328.0,320.0,233.0,328.0,376.0,317.0,362.0,186.0,398.0,17,031,804611
"Census Tract 8047.13, Cook County, Illinois",383.0,910.0,128.0,468.0,578.0,628.0,474.0,585.0,255.0,191.0,388.0,472.0,133.0,38.0,158.0,17,031,804713
"Census Tract 8047.14, Cook County, Illinois",174.0,438.0,68.0,118.0,272.0,236.0,353.0,157.0,303.0,142.0,167.0,284.0,145.0,64.0,222.0,17,031,804714
"Census Tract 8047.15, Cook County, Illinois",174.0,751.0,21.0,263.0,188.0,188.0,162.0,198.0,286.0,232.0,274.0,145.0,144.0,93.0,46.0,17,031,804715
"Census Tract 8047.16, Cook County, Illinois",202.0,808.0,54.0,285.0,254.0,303.0,283.0,386.0,412.0,373.0,272.0,380.0,172.0,167.0,244.0,17,031,804716
"Census Tract 8061.03, Cook County, Illinois",253.0,636.0,41.0,277.0,356.0,339.0,309.0,138.0,192.0,412.0,447.0,425.0,290.0,204.0,510.0,17,031,806103
"Census Tract 8061.04, Cook County, Illinois",180.0,325.0,61.0,276.0,390.0,410.0,289.0,296.0,305.0,313.0,318.0,354.0,203.0,124.0,281.0,17,031,806104
"Census Tract 8062.01, Cook County, Illinois",223.0,755.0,43.0,145.0,211.0,661.0,562.0,441.0,187.0,161.0,235.0,334.0,278.0,131.0,437.0,17,031,806201
"Census Tract 8062.02, Cook County, Illinois",177.0,506.0,79.0,35.0,280.0,222.0,302.0,279.0,282.0,453.0,431.0,377.0,177.0,283.0,945.0,17,031,806202
"Census Tract 8123.01, Cook County, Illinois",184.0,302.0,46.0,247.0,398.0,454.0,418.0,279.0,176.0,212.0,264.0,237.0,211.0,140.0,576.0,17,031,812301
"Census Tract 8123.02, Cook County, Illinois",131.0,559.0,51.0,88.0,121.0,69.0,201.0,159.0,244.0,214.0,148.0,227.0,181.0,134.0,214.0,17,031,812302
"Census Tract 8128.01, Cook County, Illinois",82.0,403.0,19.0,116.0,220.0,479.0,303.0,216.0,216.0,254.0,189.0,169.0,155.0,148.0,339.0,17,031,812801
"Census Tract 8128.02, Cook County, Illinois",85.0,277.0,34.0,41.0,279.0,275.0,317.0,94.0,180.0,232.0,200.0,149.0,113.0,118.0,84.0,17,031,812802
"Census Tract 8133.01, Cook County, Illinois",332.0,917.0,78.0,297.0,205.0,312.0,176.0,209.0,178.0,159.0,91.0,78.0,57.0,54.0,34.0,17,031,813301
"Census Tract 8133.02, Cook County, Illinois",211.0,698.0,114.0,195.0,321.0,243.0,309.0,179.0,150.0,193.0,113.0,58.0,128.0,49.0,21.0,17,031,813302
"Census Tract 8137.01, Cook County, Illinois",172.0,917.0,124.0,272.0,225.0,334.0,304.0,211.0,394.0,167.0,199.0,60.0,125.0,38.0,152.0,17,031,813701
"Census Tract 8137.02, Cook County, Illinois",210.0,849.0,214.0,345.0,359.0,336.0,283.0,240.0,284.0,203.0,155.0,180.0,55.0,70.0,107.0,17,031,813702
"Census Tract 8138.01, Cook County, Illinois",139.0,574.0,82.0,280.0,271.0,166.0,239.0,317.0,206.0,84.0,108.0,105.0,94.0,16.0,36.0,17,031,813801
