NAME,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,state,county,tract
"Census Tract 6116, Cook County, Illinois",249.0,604.0,182.0,11.0,0.0,17,031,611600
"Census Tract 6203, Cook County, Illinois",1554.0,1299.0,1058.0,378.0,156.0,17,031,620300
"Census Tract 6204, Cook County, Illinois",742.0,1037.0,589.0,207.0,138.0,17,031,620400
"Census Tract 1201, Cook County, Illinois",87.0,427.0,638.0,927.0,877.0,17,031,120100
"Census Tract 1401, Cook County, Illinois",445.0,304.0,390.0,486.0,285.0,17,031,140100
"Census Tract 8312, Cook County, Illinois",1083.0,924.0,564.0,292.0,138.0,17,031,831200
"Census Tract 8313, Cook County, Illinois",143.0,211.0,229.0,123.0,31.0,17,031,831300
"Census Tract 8314, Cook County, Illinois",419.0,741.0,516.0,216.0,140.0,17,031,831400
"Census Tract 8315, Cook County, Illinois",634.0,670.0,836.0,279.0,180.0,17,031,831500
"Census Tract 8316, Cook County, Illinois",1397.0,1628.0,1305.0,463.0,261.0,17,031,831600
"Census Tract 8317, Cook County, Illinois",332.0,339.0,359.0,452.0,168.0,17,031,831700
"Census Tract 8318, Cook County, Illinois",476.0,789.0,1098.0,1118.0,821.0,17,031,831800
"Census Tract 8319, Cook County, Illinois",18.0,99.0,189.0,1131.0,756.0,17,031,831900
"Census Tract 8320, Cook County, Illinois",31.0,58.0,180.0,572.0,325.0,17,031,832000
"Census Tract 8321, Cook County, Illinois",58.0,186.0,375.0,1287.0,563.0,17,031,832100
"Census Tract 8322, Cook County, Illinois",99.0,145.0,222.0,1100.0,866.0,17,031,832200
"Census Tract 8323, Cook County, Illinois",17.0,180.0,184.0,647.0,466.0,17,031,832300
"Census Tract 8324, Cook County, Illinois",114.0,358.0,224.0,1122.0,615.0,17,031,832400
"Census Tract 8325, Cook County, Illinois",164.0,231.0,155.0,913.0,792.0,17,031,832500
"Census Tract 8257, Cook County, Illinois",395.0,853.0,1148.0,276.0,174.0,17,031,825700
"Census Tract 8258.03, Cook County, Illinois",416.0,1308.0,1492.0,562.0,380.0,17,031,825803
"Census Tract 8263.03, Cook County, Illinois",266.0,734.0,1231.0,429.0,209.0,17,031,826303
"Census Tract 8273, Cook County, Illinois",276.0,567.0,451.0,104.0,73.0,17,031,827300
"Census Tract 8285.03, Cook County, Illinois",194.0,1070.0,810.0,318.0,16.0,17,031,828503
"Census Tract 6404, Cook County, Illinois",443.0,1061.0,565.0,218.0,129.0,17,031,640400
"Census Tract 6604, Cook County, Illinois",1450.0,1168.0,480.0,295.0,17.0,17,031,660400
"Census Tract 6608, Cook County, Illinois",673.0,1020.0,826.0,209.0,77.0,17,031,660800
"Census Tract 6713, Cook County, Illinois",286.0,649.0,407.0,39.0,0.0,17,031,671300
"Census Tract 8253.02, Cook County, Illinois",467.0,1151.0,1557.0,955.0,330.0,17,031,825302
"Census Tract 8265, Cook County, Illinois",630.0,1044.0,1363.0,385.0,212.0,17,031,826500
"Census Tract 8267, Cook County, Illinois",250.0,1262.0,1155.0,393.0,138.0,17,031,826700
